ID,PHENOTYPE,SAMPLE_SIZE,METHODOLOGY,PARAMETERS,NO_VARIANTS,FTP_WEBPAGE,NO_NONZERO_VARIANTS,NONZERO_FRACTION
PGS000533,Breast cancer (female),1063736,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",110,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000533/ScoringFiles/PGS000533.txt.gz,110,1
PGS000534,Breast cancer (female),1063736,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",110,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000534/ScoringFiles/PGS000534.txt.gz,110,1
PGS000535,Breast cancer (female),1063736,PRS-CS,Parameters = auto; LD reference (eur),1115484,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000535/ScoringFiles/PGS000535.txt.gz,1115484,1
PGS000536,Breast cancer (female),1063736,PRS-CS,Parameters = auto; LD reference (eur),1116546,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000536/ScoringFiles/PGS000536.txt.gz,1116546,1
PGS000537,Breast cancer (female),1063736,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=2e-05",363,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000537/ScoringFiles/PGS000537.txt.gz,363,1
PGS000538,Breast cancer (female),1063736,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1e-08",85,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000538/ScoringFiles/PGS000538.txt.gz,85,1
PGS000539,Breast cancer (female),1063736,lassosum,s=0.5;Lambda=0.008859,18356,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000539/ScoringFiles/PGS000539.txt.gz,18356,1
PGS000540,Breast cancer (female),1063736,lassosum,s=0.5;Lambda=0.006952,7118,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000540/ScoringFiles/PGS000540.txt.gz,7118,1
PGS000541,Malignant neoplasm of uterus,243283,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",18,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000541/ScoringFiles/PGS000541.txt.gz,18,1
PGS000542,Malignant neoplasm of uterus,243283,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1e-07",20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000542/ScoringFiles/PGS000542.txt.gz,20,1
PGS000543,Cancer of other female genital organs,194174,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=2e-06",8,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000543/ScoringFiles/PGS000543.txt.gz,8,1
PGS000544,Malignant neoplasm of ovary,512028,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",21,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000544/ScoringFiles/PGS000544.txt.gz,21,1
PGS000545,Malignant neoplasm of ovary,512028,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",21,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000545/ScoringFiles/PGS000545.txt.gz,21,1
PGS000546,Malignant neoplasm of ovary,314752,PRS-CS,Parameters = auto; LD reference (eur),1115189,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000546/ScoringFiles/PGS000546.txt.gz,1115189,1
PGS000547,Malignant neoplasm of ovary,314752,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",6,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000547/ScoringFiles/PGS000547.txt.gz,6,1
PGS000548,Malignant neoplasm of ovary,314752,lassosum,s=0.5;Lambda=0.01438,1441,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000548/ScoringFiles/PGS000548.txt.gz,1441,1
PGS000549,Malignant neoplasm of ovary,314752,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",16,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000549/ScoringFiles/PGS000549.txt.gz,16,1
PGS000550,Malignant neoplasm of ovary,314752,PRS-CS,Parameters = auto; LD reference (eur),1115189,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000550/ScoringFiles/PGS000550.txt.gz,1115189,1
PGS000551,Malignant neoplasm of ovary,314752,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1.26e-09",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000551/ScoringFiles/PGS000551.txt.gz,12,1
PGS000552,Malignant neoplasm of ovary,314752,lassosum,s=0.9;Lambda=0.01129,41269,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000552/ScoringFiles/PGS000552.txt.gz,41269,1
PGS000553,Malignant neoplasm of ovary,314752,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",10,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000553/ScoringFiles/PGS000553.txt.gz,10,1
PGS000554,Malignant neoplasm of ovary,314752,PRS-CS,Parameters = auto; LD reference (eur),1115189,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000554/ScoringFiles/PGS000554.txt.gz,1115189,1
PGS000555,Malignant neoplasm of ovary,314752,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1.58e-06",15,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000555/ScoringFiles/PGS000555.txt.gz,15,1
PGS000556,Malignant neoplasm of ovary,314752,lassosum,s=0.2;Lambda=0.008859,486841,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000556/ScoringFiles/PGS000556.txt.gz,486841,1
PGS000557,Malignant neoplasm of ovary,314752,PRS-CS,Parameters = auto; LD reference (eur),1115187,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000557/ScoringFiles/PGS000557.txt.gz,1115187,1
PGS000558,Malignant neoplasm of ovary,314752,lassosum,s=0.2;Lambda=0.006952,1098236,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000558/ScoringFiles/PGS000558.txt.gz,1098236,1
PGS000559,Malignant neoplasm of ovary,314752,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",21,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000559/ScoringFiles/PGS000559.txt.gz,21,1
PGS000560,Malignant neoplasm of ovary,314752,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",21,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000560/ScoringFiles/PGS000560.txt.gz,21,1
PGS000561,Malignant neoplasm of ovary,314752,PRS-CS,Parameters = auto; LD reference (eur),1114056,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000561/ScoringFiles/PGS000561.txt.gz,1114056,1
PGS000562,Malignant neoplasm of ovary,314752,PRS-CS,Parameters = auto; LD reference (eur),1115189,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000562/ScoringFiles/PGS000562.txt.gz,1115189,1
PGS000563,Malignant neoplasm of ovary,314752,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=6.31e-11",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000563/ScoringFiles/PGS000563.txt.gz,12,1
PGS000564,Malignant neoplasm of ovary,314752,lassosum,s=0.9;Lambda=0.01129,110710,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000564/ScoringFiles/PGS000564.txt.gz,110710,1
PGS000565,Cancer of prostate,166988,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",21,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000565/ScoringFiles/PGS000565.txt.gz,21,1
PGS000566,Cancer of prostate,166988,PRS-CS,Parameters = auto; LD reference (eur),1111494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000566/ScoringFiles/PGS000566.txt.gz,1111494,1
PGS000567,Cancer of prostate,166988,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1e-05",78,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000567/ScoringFiles/PGS000567.txt.gz,78,1
PGS000568,Cancer of prostate,166988,lassosum,s=0.9;Lambda=0.03793,1401,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000568/ScoringFiles/PGS000568.txt.gz,1401,1
PGS000569,Cancer of prostate,167020,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",49,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000569/ScoringFiles/PGS000569.txt.gz,49,1
PGS000570,Cancer of prostate,167020,PRS-CS,Parameters = auto; LD reference (eur),1111493,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000570/ScoringFiles/PGS000570.txt.gz,1111493,1
PGS000571,Cancer of prostate,167020,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=2.51e-06",100,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000571/ScoringFiles/PGS000571.txt.gz,100,1
PGS000572,Cancer of prostate,167020,lassosum,s=0.5;Lambda=0.02336,1809,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000572/ScoringFiles/PGS000572.txt.gz,1809,1
PGS000573,Cancer of prostate,167020,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",31,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000573/ScoringFiles/PGS000573.txt.gz,31,1
PGS000574,Cancer of prostate,167020,PRS-CS,Parameters = auto; LD reference (eur),1111493,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000574/ScoringFiles/PGS000574.txt.gz,1111493,1
PGS000575,Cancer of prostate,167020,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-07",47,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000575/ScoringFiles/PGS000575.txt.gz,47,1
PGS000576,Cancer of prostate,167020,lassosum,s=0.5;Lambda=0.02976,905,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000576/ScoringFiles/PGS000576.txt.gz,905,1
PGS000577,Cancer of prostate,644688,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",117,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000577/ScoringFiles/PGS000577.txt.gz,117,1
PGS000578,Cancer of prostate,644688,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",117,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000578/ScoringFiles/PGS000578.txt.gz,117,1
PGS000579,Cancer of prostate,644688,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=2.51e-07",122,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000579/ScoringFiles/PGS000579.txt.gz,122,1
PGS000580,Cancer of prostate,644688,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=7.94e-08",118,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000580/ScoringFiles/PGS000580.txt.gz,118,1
PGS000581,Cancer of prostate,140254,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",377,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000581/ScoringFiles/PGS000581.txt.gz,377,1
PGS000582,Cancer of prostate,140254,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",377,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000582/ScoringFiles/PGS000582.txt.gz,377,1
PGS000583,Cancer of prostate,140254,PRS-CS,Parameters = auto; LD reference (eur),1119311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000583/ScoringFiles/PGS000583.txt.gz,1119311,1
PGS000584,Cancer of prostate,140254,PRS-CS,Parameters = auto; LD reference (eur),1120596,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000584/ScoringFiles/PGS000584.txt.gz,1120596,1
PGS000585,Cancer of prostate,140254,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=6.31e-05",1301,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000585/ScoringFiles/PGS000585.txt.gz,1301,1
PGS000586,Cancer of prostate,140254,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=2.51e-05",1023,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000586/ScoringFiles/PGS000586.txt.gz,1023,1
PGS000587,Cancer of prostate,140254,lassosum,s=0.5;Lambda=0.006952,26418,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000587/ScoringFiles/PGS000587.txt.gz,26418,1
PGS000588,Cancer of prostate,140254,lassosum,s=0.9;Lambda=0.005456,178259,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000588/ScoringFiles/PGS000588.txt.gz,178259,1
PGS000589,Cancer of prostate,175928,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",42,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000589/ScoringFiles/PGS000589.txt.gz,42,1
PGS000590,Cancer of prostate,175928,PRS-CS,Parameters = auto; LD reference (eur),1119236,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000590/ScoringFiles/PGS000590.txt.gz,1119236,1
PGS000591,Cancer of prostate,175928,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1.26e-06",80,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000591/ScoringFiles/PGS000591.txt.gz,80,1
PGS000592,Cancer of prostate,175928,lassosum,s=0.5;Lambda=0.02336,1334,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000592/ScoringFiles/PGS000592.txt.gz,1334,1
PGS000593,Cancer of other male genital organs,167020,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",45,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000593/ScoringFiles/PGS000593.txt.gz,45,1
PGS000594,Cancer of other male genital organs,167020,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=3.98e-06",97,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000594/ScoringFiles/PGS000594.txt.gz,97,1
PGS000595,Malignant neoplasm of testis,166988,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",9,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000595/ScoringFiles/PGS000595.txt.gz,9,1
PGS000596,Malignant neoplasm of testis,166988,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5.01e-11",5,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000596/ScoringFiles/PGS000596.txt.gz,5,1
PGS000597,Malignant neoplasm of testis,166988,lassosum,s=0.9;Lambda=0.07848,771,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000597/ScoringFiles/PGS000597.txt.gz,771,1
PGS000598,Malignant neoplasm of testis,167020,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",6,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000598/ScoringFiles/PGS000598.txt.gz,6,1
PGS000599,Malignant neoplasm of testis,167020,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1e-05",31,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000599/ScoringFiles/PGS000599.txt.gz,31,1
PGS000600,Malignant neoplasm of testis,167020,lassosum,s=0.9;Lambda=0.1,250,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000600/ScoringFiles/PGS000600.txt.gz,250,1
PGS000601,Malignant neoplasm of testis,77639,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",40,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000601/ScoringFiles/PGS000601.txt.gz,40,1
PGS000602,Malignant neoplasm of testis,77639,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",40,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000602/ScoringFiles/PGS000602.txt.gz,40,1
PGS000603,Malignant neoplasm of testis,77639,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=2.51e-11",22,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000603/ScoringFiles/PGS000603.txt.gz,22,1
PGS000604,Malignant neoplasm of testis,77639,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-06",44,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000604/ScoringFiles/PGS000604.txt.gz,44,1
PGS000605,"Malignant neoplasm of kidney, except pelvis",33826,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000605/ScoringFiles/PGS000605.txt.gz,12,1
PGS000606,"Malignant neoplasm of kidney, except pelvis",33826,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000606/ScoringFiles/PGS000606.txt.gz,12,1
PGS000607,Cancer of bladder,361141,PRS-CS,Parameters = auto; LD reference (eur),1095241,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000607/ScoringFiles/PGS000607.txt.gz,1095241,1
PGS000608,Cancer of bladder,361194,PRS-CS,Parameters = auto; LD reference (eur),1097063,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000608/ScoringFiles/PGS000608.txt.gz,1097063,1
PGS000609,Cancer of bladder,361194,lassosum,s=1;Lambda=0.04833,1130,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000609/ScoringFiles/PGS000609.txt.gz,1130,1
PGS000610,Cancer of bladder,248538,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",13,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000610/ScoringFiles/PGS000610.txt.gz,13,1
PGS000611,Cancer of bladder,248538,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",13,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000611/ScoringFiles/PGS000611.txt.gz,13,1
PGS000612,Cancer of bladder,248538,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",13,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000612/ScoringFiles/PGS000612.txt.gz,13,1
PGS000613,Cancer of bladder,248538,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=7e-07",15,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000613/ScoringFiles/PGS000613.txt.gz,15,1
PGS000614,Cancer of bladder,407223,PRS-CS,Parameters = auto; LD reference (eur),1119238,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000614/ScoringFiles/PGS000614.txt.gz,1119238,1
PGS000615,Cancer of bladder,407223,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=3.98e-05",106,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000615/ScoringFiles/PGS000615.txt.gz,106,1
PGS000616,Cancer of bladder,407223,lassosum,s=1;Lambda=0.02976,24359,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000616/ScoringFiles/PGS000616.txt.gz,24359,1
PGS000617,Cancer of eye,361141,PRS-CS,Parameters = auto; LD reference (eur),834009,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000617/ScoringFiles/PGS000617.txt.gz,834009,1
PGS000618,Cancer of brain and nervous system,112282,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",23,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000618/ScoringFiles/PGS000618.txt.gz,23,1
PGS000619,Cancer of brain and nervous system,112282,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=3.16e-09",19,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000619/ScoringFiles/PGS000619.txt.gz,19,1
PGS000620,Cancer of brain,361194,lassosum,s=0.9;Lambda=0.1,522,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000620/ScoringFiles/PGS000620.txt.gz,522,1
PGS000621,Cancer of brain,33914,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000621/ScoringFiles/PGS000621.txt.gz,12,1
PGS000622,Cancer of brain,33914,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000622/ScoringFiles/PGS000622.txt.gz,12,1
PGS000623,Cancer of brain,33914,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=3.16e-09",11,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000623/ScoringFiles/PGS000623.txt.gz,11,1
PGS000624,Cancer of brain,33914,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5.01e-29",5,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000624/ScoringFiles/PGS000624.txt.gz,5,1
PGS000625,Cancer of brain,407725,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=2.51e-06",11,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000625/ScoringFiles/PGS000625.txt.gz,11,1
PGS000626,Thyroid cancer,361141,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=3.98e-06",8,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000626/ScoringFiles/PGS000626.txt.gz,8,1
PGS000627,Thyroid cancer,361194,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-06",11,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000627/ScoringFiles/PGS000627.txt.gz,11,1
PGS000628,Thyroid cancer,361194,lassosum,s=1;Lambda=0.1,656,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000628/ScoringFiles/PGS000628.txt.gz,656,1
PGS000629,Thyroid cancer,361194,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1.26e-06",8,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000629/ScoringFiles/PGS000629.txt.gz,8,1
PGS000630,Thyroid cancer,357784,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",10,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000630/ScoringFiles/PGS000630.txt.gz,10,1
PGS000631,Thyroid cancer,357784,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",10,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000631/ScoringFiles/PGS000631.txt.gz,10,1
PGS000632,Thyroid cancer,357784,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=3.16e-10",8,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000632/ScoringFiles/PGS000632.txt.gz,8,1
PGS000633,Thyroid cancer,357784,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1e-16",5,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000633/ScoringFiles/PGS000633.txt.gz,5,1
PGS000634,Thyroid cancer,407757,PRS-CS,Parameters = auto; LD reference (eur),1119238,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000634/ScoringFiles/PGS000634.txt.gz,1119238,1
PGS000635,Thyroid cancer,407757,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=2e-06",5,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000635/ScoringFiles/PGS000635.txt.gz,5,1
PGS000636,Thyroid cancer,407757,lassosum,s=1;Lambda=0.1,954,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000636/ScoringFiles/PGS000636.txt.gz,954,1
PGS000637,Hodgkin's disease,361141,PRS-CS,Parameters = auto; LD reference (eur),1047511,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000637/ScoringFiles/PGS000637.txt.gz,1047511,1
PGS000638,Hodgkin's disease,83473,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",16,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000638/ScoringFiles/PGS000638.txt.gz,16,1
PGS000639,Hodgkin's disease,83473,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1e-06",20,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000639/ScoringFiles/PGS000639.txt.gz,20,1
PGS000640,Hodgkin's disease,404724,lassosum,s=0.9;Lambda=0.02976,1119335,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000640/ScoringFiles/PGS000640.txt.gz,1119335,1
PGS000641,Non-Hodgkins lymphoma,25391,GWAS Hits,"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=5e-08",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000641/ScoringFiles/PGS000641.txt.gz,12,1
PGS000642,Non-Hodgkins lymphoma,25391,Pruning and Thresholding (P+T),"LD Clumping (MAF >= 1%, r^2 <= 0.1) & P<=1e-09",10,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000642/ScoringFiles/PGS000642.txt.gz,10,1
PGS000643,Nodular lymphoma,361194,PRS-CS,Parameters = auto; LD reference (eur),1048780,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000643/ScoringFiles/PGS000643.txt.gz,1048780,1
PGS000644,Nodular lymphoma,361194,lassosum,s=1;Lambda=0.01833,2209179,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS000644/ScoringFiles/PGS000644.txt.gz,2209179,1
