PHENOTYPE,VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN_DELTA_R2,MEAN_DELTA_ADJ_R2,MEAN.DELTA_ADJ_R2_POSITIVE
Basal_metabolic_rate.all_ethnicities.both.static_med_corrected.RAW,0.9899999999999999,0.35,0,0.08999999999999998,0.78,0.06000000000000001,1,1,0.74
Basophill_count.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.08,0.5599999999999999,0.15,0.98,0.98,0.08
Basophill_count.all_ethnicities.both.dynamic_med_corrected.IRNT,0.73,0.08,0,0.67,0.19,0.85,1,1,0.08
Basophill_count.all_ethnicities.both.dynamic_med_corrected.RAW,0.76,0.08999999999999998,0,0.33,0.95,0.27,1,1,0.06000000000000001
Basophill_count.all_ethnicities.both.original.IRNT,0.58,0.12,0,0.76,0.63,0.79,1,1,0.06000000000000001
Basophill_count.all_ethnicities.both.original.RAW,0.49,0.029999999999999995,0,0.6,0.73,0.48,1,1,0.06000000000000001
Basophill_count.all_ethnicities.both.original.with_med_correction.IRNT,0.58,0.12,0,0.76,0.63,0.79,1,1,0.06000000000000001
Basophill_count.all_ethnicities.both.original.with_med_correction.RAW,0.49,0.029999999999999995,0,0.6,0.73,0.48,1,1,0.06000000000000001
Basophill_count.all_ethnicities.both.static_med_corrected.IRNT,0.81,0.10000000000000002,0,0.7,0.11,0.9099999999999998,1,1,0.07
Basophill_count.all_ethnicities.both.static_med_corrected.RAW,0.8,0.05,0,0.33,0.9700000000000002,0.43999999999999995,1,1,0.08999999999999998
Basophill_percentage.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.11,0.22,0.21000000000000005,0.79,0.8,0.06000000000000001
Basophill_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT,0.88,0.15,0,0.83,0.59,0.79,1,1,0.04
Basophill_percentage.all_ethnicities.both.dynamic_med_corrected.RAW,0.9399999999999998,0.26,0,0.9399999999999998,0.9099999999999998,0.9300000000000002,1,1,0.06000000000000001
Basophill_percentage.all_ethnicities.both.original.IRNT,0.75,0.08999999999999998,0,0.62,0.81,0.71,1,1,0.029999999999999995
Basophill_percentage.all_ethnicities.both.original.RAW,0.73,0.08,0,0.81,0.81,0.76,1,1,0.029999999999999995
Basophill_percentage.all_ethnicities.both.original.with_med_correction.IRNT,0.75,0.08999999999999998,0,0.62,0.81,0.71,1,1,0.029999999999999995
Basophill_percentage.all_ethnicities.both.original.with_med_correction.RAW,0.73,0.08,0,0.81,0.81,0.76,1,1,0.029999999999999995
Basophill_percentage.all_ethnicities.both.static_med_corrected.IRNT,0.81,0.12,0,0.9,0.48,0.87,1,1,0.029999999999999995
Basophill_percentage.all_ethnicities.both.static_med_corrected.RAW,0.9300000000000002,0.19,0,0.9700000000000002,0.9099999999999998,0.9099999999999998,1,1,0.07
Birth_weight_of_first_child.all_ethnicities.both.2nd_visit.original.RAW,1,0.9899999999999999,1,0.98,0.79,1,0.6,0.65,0.009999999999999998
Birth_weight_of_first_child.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.96,1,0.26,0.22,0.27999999999999997,1,1,0.04
Birth_weight_of_first_child.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.9899999999999999,1,0.13000000000000003,0.57,0.19,0.84,0.84,0.06000000000000001
Birth_weight_of_first_child.all_ethnicities.both.original.IRNT,1,0.9399999999999998,1,0.41,0.43000000000000005,0.5,1,1,0.04
Birth_weight_of_first_child.all_ethnicities.both.original.RAW,1,0.98,1,0.06000000000000001,0.31,0.08999999999999998,0.9300000000000002,0.95,0.06000000000000001
Birth_weight_of_first_child.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9399999999999998,1,0.41,0.43000000000000005,0.5,1,1,0.04
Birth_weight_of_first_child.all_ethnicities.both.original.with_med_correction.RAW,1,0.98,1,0.06000000000000001,0.31,0.08999999999999998,0.9300000000000002,0.95,0.06000000000000001
Birth_weight_of_first_child.all_ethnicities.both.static_med_corrected.IRNT,1,0.98,1,0.26,0.27999999999999997,0.32,1,1,0.05
Birth_weight_of_first_child.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.06000000000000001,0.58,0.15,0.85,0.85,0.06000000000000001
Birth_weight.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.55,0.76,0.53,0.029999999999999995,0.06000000000000001,0.05
Birth_weight.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.08999999999999998,0.17,0.06000000000000001,1,1,0.07
Birth_weight.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.05,0.10000000000000002,0.10000000000000002,1,1,0.08
Birth_weight.all_ethnicities.both.original.IRNT,1,1,1,0.13000000000000003,0.58,0.26,1,1,0.08
Birth_weight.all_ethnicities.both.original.RAW,1,1,1,0.13000000000000003,0.63,0.2,1,1,0.06000000000000001
Birth_weight.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.13000000000000003,0.58,0.26,1,1,0.08
Birth_weight.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.13000000000000003,0.63,0.2,1,1,0.06000000000000001
Birth_weight.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.12,0.22,0.12,1,1,0.08
Birth_weight.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.04,0.08,0.04,1,1,0.08
Body_fat_percentage.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.77,0.21000000000000005,0.83,0,0.7,0.07
Body_fat_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT,0.98,0.57,0,0.9099999999999998,0.33,0.95,1,1,0.5
Body_fat_percentage.all_ethnicities.both.dynamic_med_corrected.RAW,0.98,0.35,0,0.98,0.7,0.98,1,1,0.52
Body_fat_percentage.all_ethnicities.both.original.IRNT,0.9300000000000002,0.04,0,0.85,0.9899999999999999,0.83,1,1,0.05
Body_fat_percentage.all_ethnicities.both.original.RAW,0.9099999999999998,0.04,0,0.86,1,0.88,1,1,0.07
Body_fat_percentage.all_ethnicities.both.original.with_med_correction.IRNT,0.92,0,0,0.9099999999999998,1,0.9099999999999998,1,1,0.07
Body_fat_percentage.all_ethnicities.both.original.with_med_correction.RAW,0.92,0,0,0.9099999999999998,1,0.92,1,1,0.04
Body_fat_percentage.all_ethnicities.both.static_med_corrected.IRNT,0.9899999999999999,0.78,0,0.76,0.3,0.79,1,1,0.53
Body_fat_percentage.all_ethnicities.both.static_med_corrected.RAW,0.9899999999999999,0.61,0,0.9,0.89,0.84,1,1,0.5599999999999999
Body_mass_index_BMI.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.9899999999999999,0.9899999999999999,0.9899999999999999,0.95,0.95,0.07
Body_mass_index_BMI.all_ethnicities.both.dynamic_med_corrected.IRNT,0.9700000000000002,0.51,0,0.74,0.67,0.78,1,1,0.65
Body_mass_index_BMI.all_ethnicities.both.dynamic_med_corrected.RAW,0.98,0.76,0,0.59,0.33,0.76,1,1,0.57
Body_mass_index_BMI.all_ethnicities.both.original.IRNT,0.89,0.4000000000000001,0,0.52,0.92,0.54,1,1,0.04
Body_mass_index_BMI.all_ethnicities.both.original.RAW,0.9,0.41,0,0.54,0.92,0.54,1,1,0.05
Body_mass_index_BMI.all_ethnicities.both.original.with_med_correction.IRNT,0.84,0.18,0,0.51,0.73,0.69,1,1,0.02
Body_mass_index_BMI.all_ethnicities.both.original.with_med_correction.RAW,0.84,0.19,0,0.52,0.72,0.69,1,1,0.04
Body_mass_index_BMI.all_ethnicities.both.static_med_corrected.IRNT,0.9899999999999999,0.53,0,0.48,0.47,0.47,1,1,0.63
Body_mass_index_BMI.all_ethnicities.both.static_med_corrected.RAW,0.9700000000000002,0.49,0,0.45,0.7,0.4200000000000001,1,1,0.65
C_reactive_protein.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.18,0.02,0.52,0.45,0.45,0.07
C_reactive_protein.all_ethnicities.both.dynamic_med_corrected.IRNT,0.67,0.79,0,0.35,0.57,0.41,1,1,0.029999999999999995
C_reactive_protein.all_ethnicities.both.dynamic_med_corrected.RAW,0.62,0.31,0,0.11,0.009999999999999998,0.23,1,1,0.05
C_reactive_protein.all_ethnicities.both.original.IRNT,0.61,0.79,0,0.64,0.64,0.47,1,1,0.07
C_reactive_protein.all_ethnicities.both.original.RAW,0.6,0.82,0,0.71,0.78,0.61,1,1,0.07
C_reactive_protein.all_ethnicities.both.original.with_med_correction.IRNT,0.8,0.9300000000000002,0,0.78,0.54,0.62,1,1,0
C_reactive_protein.all_ethnicities.both.original.with_med_correction.RAW,0.81,0.9300000000000002,0,0.79,0.52,0.6,1,1,0.04
C_reactive_protein.all_ethnicities.both.static_med_corrected.IRNT,0.71,0.77,0,0.76,0.4200000000000001,0.77,1,1,0.52
C_reactive_protein.all_ethnicities.both.static_med_corrected.RAW,0.48,0.33,0,0.19,0.24,0.14,1,1,0.05
Calcium.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.8,0.4200000000000001,0.86,0.88,0.92,0.029999999999999995
Calcium.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.51,0,0.33,0.33,0.4000000000000001,1,1,0.04
Calcium.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.5,0,0.04,0.26,0.06000000000000001,1,1,0.06000000000000001
Calcium.all_ethnicities.both.original.IRNT,1,0.64,0,0.29,0.29,0.4200000000000001,1,1,0.06000000000000001
Calcium.all_ethnicities.both.original.RAW,1,0.71,0,0.38,0.34,0.43000000000000005,1,1,0.08999999999999998
Calcium.all_ethnicities.both.original.with_med_correction.IRNT,1,0.71,0,0.13000000000000003,0.45,0.16,1,1,0.04
Calcium.all_ethnicities.both.original.with_med_correction.RAW,1,0.73,0,0.11,0.33,0.16,1,1,0.08
Calcium.all_ethnicities.both.static_med_corrected.IRNT,1,0.52,0,0.04,0.10000000000000002,0.10000000000000002,1,1,0.04
Calcium.all_ethnicities.both.static_med_corrected.RAW,1,0.51,0,0.009999999999999998,0.06000000000000001,0.05,1,1,0.05
Cholesterol.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.85,0.2,0.92,0.37,0.64,0.06000000000000001
Cholesterol.all_ethnicities.both.dynamic_med_corrected.IRNT,0.19,0.57,0,0.31,0.61,0.25,1,1,0.59
Cholesterol.all_ethnicities.both.dynamic_med_corrected.RAW,0.18,0.57,0,0.38,0.7,0.31,1,1,0.57
Cholesterol.all_ethnicities.both.original.IRNT,0.76,0.87,0,0.73,0.52,0.71,1,1,0.08
Cholesterol.all_ethnicities.both.original.RAW,0.75,0.87,0,0.73,0.5,0.73,1,1,0.06000000000000001
Cholesterol.all_ethnicities.both.original.with_med_correction.IRNT,0.55,0.21000000000000005,0,0.77,0.62,0.89,1,1,0.07
Cholesterol.all_ethnicities.both.original.with_med_correction.RAW,0.59,0.23,0,0.76,0.66,0.89,1,1,0.04
Cholesterol.all_ethnicities.both.static_med_corrected.IRNT,0.2,0.79,0,0.6,0.52,0.47,1,1,0.58
Cholesterol.all_ethnicities.both.static_med_corrected.RAW,0.24,0.73,0,0.61,0.45,0.53,1,1,0.61
Creatinine_enzymatic_in_urine.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.9399999999999998,0.83,0.96,0.43999999999999995,0.79,0.05
Creatinine_enzymatic_in_urine.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.14,0,0.48,0.92,0.83,1,1,0.029999999999999995
Creatinine_enzymatic_in_urine.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.05,0,0.33,0.33,0.75,1,1,0.02
Creatinine_enzymatic_in_urine.all_ethnicities.both.original.IRNT,0.9700000000000002,0.11,0,0.71,0.67,0.9,1,1,0.06000000000000001
Creatinine_enzymatic_in_urine.all_ethnicities.both.original.RAW,0.9700000000000002,0.11,0,0.71,0.66,0.9,1,1,0.08999999999999998
Creatinine_enzymatic_in_urine.all_ethnicities.both.original.with_med_correction.IRNT,0.95,0.18,0,0.64,0.14,0.88,1,1,0.04
Creatinine_enzymatic_in_urine.all_ethnicities.both.original.with_med_correction.RAW,0.95,0.18,0,0.64,0.13000000000000003,0.86,1,1,0.07
Creatinine_enzymatic_in_urine.all_ethnicities.both.static_med_corrected.IRNT,1,0.21000000000000005,0,0.33,0.96,0.61,1,1,0.029999999999999995
Creatinine_enzymatic_in_urine.all_ethnicities.both.static_med_corrected.RAW,1,0.12,0,0.4200000000000001,0.72,0.65,1,1,0.07
Creatinine.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.58,0.77,0.58,0.009999999999999998,0.81,0.029999999999999995
Creatinine.all_ethnicities.both.dynamic_med_corrected.IRNT,0.81,0.96,0,0.74,0.37,0.84,1,1,0.63
Creatinine.all_ethnicities.both.dynamic_med_corrected.RAW,0.9300000000000002,0.92,0,0.78,0.39,0.81,1,1,0.64
Creatinine.all_ethnicities.both.original.IRNT,1,0.9399999999999998,0,0.69,0.86,0.85,1,1,0.05
Creatinine.all_ethnicities.both.original.RAW,1,0.96,0,0.74,0.92,0.88,1,1,0.04
Creatinine.all_ethnicities.both.original.with_med_correction.IRNT,1,0.84,0,0.83,0.9399999999999998,0.9300000000000002,1,1,0.02
Creatinine.all_ethnicities.both.original.with_med_correction.RAW,1,0.84,0,0.83,0.9700000000000002,0.9,1,1,0.029999999999999995
Creatinine.all_ethnicities.both.static_med_corrected.IRNT,0.75,0.95,0,0.74,0.27999999999999997,0.9399999999999998,1,1,0.67
Creatinine.all_ethnicities.both.static_med_corrected.RAW,0.9300000000000002,0.9399999999999998,0,0.16,0.17,0.31,1,1,0.6
Cystatin_C.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.27999999999999997,0.08999999999999998,0.43000000000000005,0.08999999999999998,0.35,0.05
Cystatin_C.all_ethnicities.both.dynamic_med_corrected.IRNT,0.96,0.27,0,0.9,0.54,0.88,1,1,0.73
Cystatin_C.all_ethnicities.both.dynamic_med_corrected.RAW,0.9399999999999998,0.07,0,0.82,0.39,0.75,1,1,0.54
Cystatin_C.all_ethnicities.both.original.IRNT,0.98,0.37,0,0.71,0.16,0.82,1,1,0.07
Cystatin_C.all_ethnicities.both.original.RAW,0.9700000000000002,0.4200000000000001,0,0.74,0.18,0.84,1,1,0.04
Cystatin_C.all_ethnicities.both.original.with_med_correction.IRNT,0.9700000000000002,0.54,0,0.25,0.06000000000000001,0.45,1,1,0.04
Cystatin_C.all_ethnicities.both.original.with_med_correction.RAW,0.9700000000000002,0.53,0,0.24,0.06000000000000001,0.43999999999999995,1,1,0.08
Cystatin_C.all_ethnicities.both.static_med_corrected.IRNT,0.9399999999999998,0.27999999999999997,0,0.9300000000000002,0.9399999999999998,0.86,1,1,0.74
Cystatin_C.all_ethnicities.both.static_med_corrected.RAW,0.85,0.31,0,0.9300000000000002,0.9700000000000002,0.74,1,1,0.51
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.21000000000000005,0.10000000000000002,0.19,0.61,0.67,0.08999999999999998
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.51,0,0.87,0.31,0.89,1,1,0.04
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.54,0,0.78,0.24,0.8,1,1,0.05
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.original.IRNT,1,0.84,0,0.27999999999999997,0.55,0.17,1,1,0.05
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.original.RAW,1,0.83,0,0.26,0.59,0.12,1,1,0.05
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.original.with_med_correction.IRNT,1,0.72,0,0.4000000000000001,0.57,0.25,1,1,0.07
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.original.with_med_correction.RAW,1,0.87,0,0.49,0.36,0.39,1,1,0.04
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.static_med_corrected.IRNT,1,0.75,0,0.79,0.69,0.75,1,1,0.029999999999999995
Diastolic_blood_pressure_automated_reading.all_ethnicities.both.static_med_corrected.RAW,1,0.76,0,0.87,0.6,0.75,1,1,0.04
Direct_bilirubin.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.45,0.55,0.48,0.15,0.3,0.07
Direct_bilirubin.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.27,0,0.06000000000000001,0.75,0.06000000000000001,1,1,0.65
Direct_bilirubin.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.24,0,0.13000000000000003,0.48,0.16,1,1,0.75
Direct_bilirubin.all_ethnicities.both.original.IRNT,1,0.13000000000000003,0,0.15,0.27,0.23,1,1,0.07
Direct_bilirubin.all_ethnicities.both.original.RAW,1,0.12,0,0.14,0.18,0.19,1,1,0.029999999999999995
Direct_bilirubin.all_ethnicities.both.original.with_med_correction.IRNT,1,0.39,0,0.029999999999999995,0.41,0.11,1,1,0.10000000000000002
Direct_bilirubin.all_ethnicities.both.original.with_med_correction.RAW,1,0.37,0,0.029999999999999995,0.43000000000000005,0.10000000000000002,1,1,0.04
Direct_bilirubin.all_ethnicities.both.static_med_corrected.IRNT,1,0.19,0,0.39,0.9399999999999998,0.41,1,1,0.72
Direct_bilirubin.all_ethnicities.both.static_med_corrected.RAW,1,0.26,0,0.29,0.57,0.4200000000000001,1,1,0.7
Eosinophill_count.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.77,0.95,0.86,0.34,0.39,0.05
Eosinophill_count.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.52,0,0.16,0.31,0.13000000000000003,1,1,0.73
Eosinophill_count.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.58,0,0.19,0.7,0.14,1,1,0.65
Eosinophill_count.all_ethnicities.both.original.IRNT,1,0.5,0,0.07,0.009999999999999998,0.05,1,1,0.04
Eosinophill_count.all_ethnicities.both.original.RAW,1,0.51,0,0.10000000000000002,0.49,0.16,1,1,0.06000000000000001
Eosinophill_count.all_ethnicities.both.original.with_med_correction.IRNT,1,0.49,0,0.05,0,0.02,1,1,0.05
Eosinophill_count.all_ethnicities.both.original.with_med_correction.RAW,1,0.46,0,0.08,0.06000000000000001,0.04,1,1,0.08999999999999998
Eosinophill_count.all_ethnicities.both.static_med_corrected.IRNT,1,0.59,0,0.2,0.54,0.18,1,1,0.76
Eosinophill_count.all_ethnicities.both.static_med_corrected.RAW,1,0.81,0,0.24,0.43999999999999995,0.26,1,1,0.62
Eosinophill_percentage.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.88,0.82,0.87,0.58,0.61,0.04
Eosinophill_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.9899999999999999,0,0.27,0.35,0.19,1,1,0.72
Eosinophill_percentage.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.9399999999999998,0,0.22,0.49,0.15,1,1,0.6
Eosinophill_percentage.all_ethnicities.both.original.IRNT,1,1,0,0.29,0.55,0.3,1,1,0.029999999999999995
Eosinophill_percentage.all_ethnicities.both.original.RAW,1,1,0,0.26,0.54,0.27999999999999997,1,1,0.07
Eosinophill_percentage.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9700000000000002,0,0.22,0.4200000000000001,0.22,1,1,0.009999999999999998
Eosinophill_percentage.all_ethnicities.both.original.with_med_correction.RAW,1,0.9700000000000002,0,0.17,0.38,0.17,1,1,0.05
Eosinophill_percentage.all_ethnicities.both.static_med_corrected.IRNT,1,0.95,0,0.2,0.4200000000000001,0.13000000000000003,1,1,0.7
Eosinophill_percentage.all_ethnicities.both.static_med_corrected.RAW,1,0.89,0,0.37,0.73,0.27,1,1,0.6
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.4200000000000001,0.6,0.59,0,0.63,0.06000000000000001
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.dynamic_med_corrected.IRNT,0.6,0.5,0,0.68,0.49,0.66,1,1,0.04
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.dynamic_med_corrected.RAW,0.54,0.66,0,0.69,0.89,0.77,1,1,0.6
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.IRNT,0.95,0.39,0,0.86,0.9,0.73,1,1,0.04
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.RAW,0.96,0.4000000000000001,0,0.86,0.9099999999999998,0.72,1,1,0.04
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.with_med_correction.IRNT,0.95,0.39,0,0.86,0.9,0.73,1,1,0.04
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.with_med_correction.RAW,0.96,0.4000000000000001,0,0.86,0.9099999999999998,0.72,1,1,0.04
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.static_med_corrected.IRNT,0.71,0.69,0,0.31,0.39,0.43000000000000005,1,1,0.65
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.static_med_corrected.RAW,0.71,0.69,0,0.72,0.16,0.65,1,1,0.64
Forced_vital_capacity_FVC.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.4000000000000001,0.26,0.32,0,0.67,0.07
Forced_vital_capacity_FVC.all_ethnicities.both.dynamic_med_corrected.IRNT,0.72,0.55,0,0.08999999999999998,0.009999999999999998,0.17,1,1,0.64
Forced_vital_capacity_FVC.all_ethnicities.both.dynamic_med_corrected.RAW,0.73,0.68,0,0.06000000000000001,0.24,0.22,1,1,0.55
Forced_vital_capacity_FVC.all_ethnicities.both.original.IRNT,0.9899999999999999,0.7,0,0.83,0.18,0.87,1,1,0.08999999999999998
Forced_vital_capacity_FVC.all_ethnicities.both.original.RAW,0.9899999999999999,0.65,0,0.85,0.26,0.89,1,1,0.08
Forced_vital_capacity_FVC.all_ethnicities.both.original.with_med_correction.IRNT,0.9899999999999999,0.7,0,0.83,0.18,0.87,1,1,0.08999999999999998
Forced_vital_capacity_FVC.all_ethnicities.both.original.with_med_correction.RAW,0.9899999999999999,0.65,0,0.85,0.26,0.89,1,1,0.08
Forced_vital_capacity_FVC.all_ethnicities.both.static_med_corrected.IRNT,0.74,0.5,0,0.04,0.05,0.16,1,1,0.76
Forced_vital_capacity_FVC.all_ethnicities.both.static_med_corrected.RAW,0.8,0.5599999999999999,0,0.06000000000000001,0.27,0.27999999999999997,1,1,0.61
Gamma_glutamyltransferase.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.71,1,0.6,0.9399999999999998,0.9899999999999999,0.06000000000000001
Gamma_glutamyltransferase.all_ethnicities.both.dynamic_med_corrected.IRNT,0.17,0.38,0,0.14,0.25,0.26,1,1,0.07
Gamma_glutamyltransferase.all_ethnicities.both.dynamic_med_corrected.RAW,0.25,0.13000000000000003,0,0.57,0.75,0.5599999999999999,1,1,0.06000000000000001
Gamma_glutamyltransferase.all_ethnicities.both.original.IRNT,0.27,0.86,0,0.24,0.41,0.27999999999999997,1,1,0
Gamma_glutamyltransferase.all_ethnicities.both.original.RAW,0.17,0.87,0,0.27,0.26,0.36,1,1,0.029999999999999995
Gamma_glutamyltransferase.all_ethnicities.both.original.with_med_correction.IRNT,0.31,0.59,0,0.17,0.26,0.15,1,1,0.06000000000000001
Gamma_glutamyltransferase.all_ethnicities.both.original.with_med_correction.RAW,0.24,0.55,0,0.16,0.26,0.13000000000000003,1,1,0.02
Gamma_glutamyltransferase.all_ethnicities.both.static_med_corrected.IRNT,0.08999999999999998,0.41,0,0.55,0.81,0.59,1,1,0.06000000000000001
Gamma_glutamyltransferase.all_ethnicities.both.static_med_corrected.RAW,0.27999999999999997,0.17,0,0.33,0.34,0.46,1,1,0.05
Glucose.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.81,0.86,0.74,0.25,0.27999999999999997,0.05
Glucose.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.95,0,0.62,0.5599999999999999,0.6,1,1,0.08999999999999998
Glucose.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.9099999999999998,0,0.04,0.05,0.029999999999999995,1,1,0.029999999999999995
Glucose.all_ethnicities.both.original.IRNT,1,0.9700000000000002,0,0.75,0.55,0.72,1,1,0.05
Glucose.all_ethnicities.both.original.RAW,1,0.9700000000000002,0,0.79,0.6,0.72,1,1,0.029999999999999995
Glucose.all_ethnicities.both.original.with_med_correction.IRNT,1,0.95,0,0.65,0.39,0.7,1,1,0.05
Glucose.all_ethnicities.both.original.with_med_correction.RAW,1,0.9399999999999998,0,0.65,0.39,0.69,1,1,0.029999999999999995
Glucose.all_ethnicities.both.static_med_corrected.IRNT,1,0.95,0,0.32,0.24,0.39,1,1,0.04
Glucose.all_ethnicities.both.static_med_corrected.RAW,1,0.9700000000000002,0,0.14,0.16,0.25,1,1,0.04
Glycated_haemoglobin_HbA1c.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.83,0.39,0.84,0.9,0.96,0.07
Glycated_haemoglobin_HbA1c.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.45,0,0.67,0.77,0.73,1,1,0.06000000000000001
Glycated_haemoglobin_HbA1c.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.37,0,0.51,0.78,0.6,1,1,0.029999999999999995
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.IRNT,1,0.9,0,0.43000000000000005,0.15,0.64,1,1,0.04
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.RAW,1,0.9099999999999998,0,0.43000000000000005,0.12,0.63,1,1,0.04
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.with_med_correction.IRNT,1,0.92,0,0.33,0.4200000000000001,0.55,1,1,0.06000000000000001
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.with_med_correction.RAW,1,0.92,0,0.36,0.06000000000000001,0.6,1,1,0.029999999999999995
Glycated_haemoglobin_HbA1c.all_ethnicities.both.static_med_corrected.IRNT,1,0.57,0,0.72,0.49,0.9399999999999998,1,1,0.67
Glycated_haemoglobin_HbA1c.all_ethnicities.both.static_med_corrected.RAW,1,0.55,0,0.25,0.14,0.67,1,1,0.04
Haematocrit_percentage.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.34,0.46,0.26,0.029999999999999995,0.9300000000000002,0.009999999999999998
Haematocrit_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT,0.75,0.31,0,0.61,0.65,0.54,1,1,0.6
Haematocrit_percentage.all_ethnicities.both.dynamic_med_corrected.RAW,0.68,0.27,0,0.52,0.55,0.5,1,1,0.5599999999999999
Haematocrit_percentage.all_ethnicities.both.original.IRNT,0.9899999999999999,0.63,0,0.009999999999999998,0.85,0.05,1,1,0.08999999999999998
Haematocrit_percentage.all_ethnicities.both.original.RAW,0.9899999999999999,0.62,0,0.009999999999999998,0.86,0.06000000000000001,1,1,0.07
Haematocrit_percentage.all_ethnicities.both.original.with_med_correction.IRNT,0.9899999999999999,0.72,0,0.02,0.9099999999999998,0.08,1,1,0.10000000000000002
Haematocrit_percentage.all_ethnicities.both.original.with_med_correction.RAW,0.9899999999999999,0.7,0,0.02,0.95,0.08,1,1,0.06000000000000001
Haematocrit_percentage.all_ethnicities.both.static_med_corrected.IRNT,0.77,0.2,0,0.65,0.4200000000000001,0.61,1,1,0.5599999999999999
Haematocrit_percentage.all_ethnicities.both.static_med_corrected.RAW,0.7,0.21000000000000005,0,0.6,0.36,0.64,1,1,0.58
Haemoglobin_concentration.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.65,0.29,0.63,0,0.87,0.04
Haemoglobin_concentration.all_ethnicities.both.dynamic_med_corrected.IRNT,0.79,0.12,0,0.48,0.46,0.36,1,1,0.62
