"PHENOTYPE","SAMPLE_SIZE","COMPLETE_CASES"
"Haematocrit_percentage.all_ethnicities.both.original.with_med_correction.IRNT",487309,472422
"Haematocrit_percentage.all_ethnicities.both.original.IRNT",487309,472422
"Arm_fat_free_mass_left.all_ethnicities.both.static_med_corrected.IRNT",487309,478323
"Arm_fat_free_mass_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478323
"Arm_fat_free_mass_left.all_ethnicities.both.static_med_corrected.RAW",487309,478323
"Arm_fat_free_mass_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478323
"Arm_fat_free_mass_left.all_ethnicities.both.original.RAW",487309,478323
"Arm_fat_free_mass_left.all_ethnicities.both.2nd_visit.original.RAW",487309,19621
"Arm_fat_free_mass_left.all_ethnicities.both.original.with_med_correction.RAW",487309,478323
"Arm_fat_free_mass_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,478323
"Arm_fat_free_mass_left.all_ethnicities.both.original.IRNT",487309,478323
"Trunk_fat_free_mass.all_ethnicities.both.static_med_corrected.IRNT",487309,478153
"Trunk_fat_free_mass.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478153
"Trunk_fat_free_mass.all_ethnicities.both.static_med_corrected.RAW",487309,478153
"Trunk_fat_free_mass.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478153
"Trunk_fat_free_mass.all_ethnicities.both.original.RAW",487309,478153
"Trunk_fat_free_mass.all_ethnicities.both.2nd_visit.original.RAW",487309,19614
"Trunk_fat_free_mass.all_ethnicities.both.original.with_med_correction.RAW",487309,478153
"Trunk_fat_free_mass.all_ethnicities.both.original.with_med_correction.IRNT",487309,478153
"Trunk_fat_free_mass.all_ethnicities.both.original.IRNT",487309,478153
"Sitting_height.all_ethnicities.both.static_med_corrected.IRNT",487309,485428
"Sitting_height.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,485428
"Sitting_height.all_ethnicities.both.static_med_corrected.RAW",487309,485428
"Sitting_height.all_ethnicities.both.dynamic_med_corrected.RAW",487309,485428
"Sitting_height.all_ethnicities.both.original.RAW",487309,485428
"Sitting_height.all_ethnicities.both.2nd_visit.original.RAW",487309,19704
"Sitting_height.all_ethnicities.both.original.with_med_correction.RAW",487309,485428
"Sitting_height.all_ethnicities.both.original.with_med_correction.IRNT",487309,485428
"Sitting_height.all_ethnicities.both.original.IRNT",487309,485428
"Microalbumin_in_urine.all_ethnicities.both.static_med_corrected.IRNT",487309,149098
"Microalbumin_in_urine.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,149098
"Microalbumin_in_urine.all_ethnicities.both.static_med_corrected.RAW",487309,149098
"Microalbumin_in_urine.all_ethnicities.both.dynamic_med_corrected.RAW",487309,149098
"Microalbumin_in_urine.all_ethnicities.both.original.RAW",487309,149098
"Microalbumin_in_urine.all_ethnicities.both.2nd_visit.original.RAW",487309,2783
"Microalbumin_in_urine.all_ethnicities.both.original.with_med_correction.RAW",487309,149098
"Microalbumin_in_urine.all_ethnicities.both.original.with_med_correction.IRNT",487309,149098
"Microalbumin_in_urine.all_ethnicities.both.original.IRNT",487309,149098
"Oestradiol.all_ethnicities.both.static_med_corrected.IRNT",487309,435894
"Oestradiol.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,435894
"Oestradiol.all_ethnicities.both.static_med_corrected.RAW",487309,435894
"Oestradiol.all_ethnicities.both.dynamic_med_corrected.RAW",487309,435894
"Oestradiol.all_ethnicities.both.original.RAW",487309,435894
"Oestradiol.all_ethnicities.both.2nd_visit.original.RAW",487309,14755
"Oestradiol.all_ethnicities.both.original.with_med_correction.RAW",487309,435894
"Oestradiol.all_ethnicities.both.original.with_med_correction.IRNT",487309,435894
"Oestradiol.all_ethnicities.both.original.IRNT",487309,435894
"Apolipoprotein_A.all_ethnicities.both.static_med_corrected.IRNT",487309,422733
"Apolipoprotein_A.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,422733
"Apolipoprotein_A.all_ethnicities.both.static_med_corrected.RAW",487309,422733
"Apolipoprotein_A.all_ethnicities.both.dynamic_med_corrected.RAW",487309,422733
"Apolipoprotein_A.all_ethnicities.both.original.RAW",487309,422733
"Apolipoprotein_A.all_ethnicities.both.2nd_visit.original.RAW",487309,13221
"Apolipoprotein_A.all_ethnicities.both.original.with_med_correction.RAW",487309,422733
"Apolipoprotein_A.all_ethnicities.both.original.with_med_correction.IRNT",487309,422733
"Apolipoprotein_A.all_ethnicities.both.original.IRNT",487309,422733
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.static_med_corrected.IRNT",487309,471533
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,471533
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.static_med_corrected.RAW",487309,471533
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.dynamic_med_corrected.RAW",487309,471533
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.original.RAW",487309,471533
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.2nd_visit.original.RAW",487309,12847
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.original.with_med_correction.RAW",487309,471533
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.original.with_med_correction.IRNT",487309,471533
"Nucleated_red_blood_cell_percentage.all_ethnicities.both.original.IRNT",487309,471533
"Immature_reticulocyte_fraction.all_ethnicities.both.static_med_corrected.IRNT",487309,464457
"Immature_reticulocyte_fraction.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,464457
"Immature_reticulocyte_fraction.all_ethnicities.both.static_med_corrected.RAW",487309,464457
"Immature_reticulocyte_fraction.all_ethnicities.both.dynamic_med_corrected.RAW",487309,464457
"Immature_reticulocyte_fraction.all_ethnicities.both.original.RAW",487309,464457
"Immature_reticulocyte_fraction.all_ethnicities.both.2nd_visit.original.RAW",487309,12752
"Immature_reticulocyte_fraction.all_ethnicities.both.original.with_med_correction.RAW",487309,464457
"Immature_reticulocyte_fraction.all_ethnicities.both.original.with_med_correction.IRNT",487309,464457
"Immature_reticulocyte_fraction.all_ethnicities.both.original.IRNT",487309,464457
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.static_med_corrected.IRNT",487309,429877
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,429877
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.static_med_corrected.RAW",487309,429877
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.dynamic_med_corrected.RAW",487309,429877
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.RAW",487309,429877
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.2nd_visit.original.RAW",487309,17619
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.with_med_correction.RAW",487309,429877
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.with_med_correction.IRNT",487309,429877
"Age_started_wearing_glasses_or_contact_lenses.all_ethnicities.both.original.IRNT",487309,429877
"Birth_weight_of_first_child.all_ethnicities.both.static_med_corrected.IRNT",487309,214327
"Birth_weight_of_first_child.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,214327
"Birth_weight_of_first_child.all_ethnicities.both.static_med_corrected.RAW",487309,214327
"Birth_weight_of_first_child.all_ethnicities.both.dynamic_med_corrected.RAW",487309,214327
"Birth_weight_of_first_child.all_ethnicities.both.original.RAW",487309,214327
"Birth_weight_of_first_child.all_ethnicities.both.2nd_visit.original.RAW",487309,8192
"Birth_weight_of_first_child.all_ethnicities.both.original.with_med_correction.RAW",487309,214327
"Birth_weight_of_first_child.all_ethnicities.both.original.with_med_correction.IRNT",487309,214327
"Birth_weight_of_first_child.all_ethnicities.both.original.IRNT",487309,214327
"Arm_fat_free_mass_right.all_ethnicities.both.static_med_corrected.IRNT",487309,478411
"Arm_fat_free_mass_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478411
"Arm_fat_free_mass_right.all_ethnicities.both.static_med_corrected.RAW",487309,478411
"Arm_fat_free_mass_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478411
"Arm_fat_free_mass_right.all_ethnicities.both.original.RAW",487309,478411
"Arm_fat_free_mass_right.all_ethnicities.both.2nd_visit.original.RAW",487309,19624
"Arm_fat_free_mass_right.all_ethnicities.both.original.with_med_correction.RAW",487309,478411
"Arm_fat_free_mass_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,478411
"Arm_fat_free_mass_right.all_ethnicities.both.original.IRNT",487309,478411
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.static_med_corrected.IRNT",487309,274458
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.static_med_corrected.RAW",487309,274458
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.RAW",487309,274458
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.2nd_visit.original.RAW",487309,11333
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.with_med_correction.RAW",487309,274458
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.with_med_correction.IRNT",487309,274458
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.IRNT",487309,274458
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.dynamic_med_corrected.RAW",487309,274458
"Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,274458
"Nucleated_red_blood_cell_count.all_ethnicities.both.static_med_corrected.IRNT",487309,471537
"Nucleated_red_blood_cell_count.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,471537
"Nucleated_red_blood_cell_count.all_ethnicities.both.static_med_corrected.RAW",487309,471537
"Nucleated_red_blood_cell_count.all_ethnicities.both.dynamic_med_corrected.RAW",487309,471537
"Nucleated_red_blood_cell_count.all_ethnicities.both.original.RAW",487309,471537
"Nucleated_red_blood_cell_count.all_ethnicities.both.2nd_visit.original.RAW",487309,12847
"Nucleated_red_blood_cell_count.all_ethnicities.both.original.with_med_correction.RAW",487309,471537
"Nucleated_red_blood_cell_count.all_ethnicities.both.original.with_med_correction.IRNT",487309,471537
"Nucleated_red_blood_cell_count.all_ethnicities.both.original.IRNT",487309,471537
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.static_med_corrected.IRNT",487309,159099
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,159099
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.static_med_corrected.RAW",487309,159099
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.dynamic_med_corrected.RAW",487309,159099
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.RAW",487309,159099
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.2nd_visit.original.RAW",487309,4366
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.with_med_correction.RAW",487309,159099
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.with_med_correction.IRNT",487309,159099
"Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.IRNT",487309,159099
"HDL_cholesterol.all_ethnicities.both.static_med_corrected.IRNT",487309,425072
"HDL_cholesterol.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,425072
"HDL_cholesterol.all_ethnicities.both.static_med_corrected.RAW",487309,425072
"HDL_cholesterol.all_ethnicities.both.dynamic_med_corrected.RAW",487309,425072
"HDL_cholesterol.all_ethnicities.both.original.RAW",487309,425072
"HDL_cholesterol.all_ethnicities.both.2nd_visit.original.RAW",487309,13360
"HDL_cholesterol.all_ethnicities.both.original.with_med_correction.RAW",487309,425072
"HDL_cholesterol.all_ethnicities.both.original.with_med_correction.IRNT",487309,425072
"HDL_cholesterol.all_ethnicities.both.original.IRNT",487309,425072
"Vitamin_D.all_ethnicities.both.static_med_corrected.IRNT",487309,443429
"Vitamin_D.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,443429
"Vitamin_D.all_ethnicities.both.static_med_corrected.RAW",487309,443429
"Vitamin_D.all_ethnicities.both.dynamic_med_corrected.RAW",487309,443429
"Vitamin_D.all_ethnicities.both.original.RAW",487309,443429
"Vitamin_D.all_ethnicities.both.2nd_visit.original.RAW",487309,15362
"Vitamin_D.all_ethnicities.both.original.with_med_correction.RAW",487309,443429
"Vitamin_D.all_ethnicities.both.original.with_med_correction.IRNT",487309,443429
"Vitamin_D.all_ethnicities.both.original.IRNT",487309,443429
"Mean_corpuscular_haemoglobin.all_ethnicities.both.static_med_corrected.IRNT",487309,472419
"Mean_corpuscular_haemoglobin.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,472419
"Mean_corpuscular_haemoglobin.all_ethnicities.both.static_med_corrected.RAW",487309,472419
"Mean_corpuscular_haemoglobin.all_ethnicities.both.dynamic_med_corrected.RAW",487309,472419
"Mean_corpuscular_haemoglobin.all_ethnicities.both.original.RAW",487309,472419
"Mean_corpuscular_haemoglobin.all_ethnicities.both.2nd_visit.original.RAW",487309,18289
"Mean_corpuscular_haemoglobin.all_ethnicities.both.original.with_med_correction.RAW",487309,472419
"Mean_corpuscular_haemoglobin.all_ethnicities.both.original.with_med_correction.IRNT",487309,472419
"Mean_corpuscular_haemoglobin.all_ethnicities.both.original.IRNT",487309,472419
"Speed_of_sound_through_heel.all_ethnicities.both.static_med_corrected.IRNT",487309,274458
"Speed_of_sound_through_heel.all_ethnicities.both.static_med_corrected.RAW",487309,274458
"Speed_of_sound_through_heel.all_ethnicities.both.original.RAW",487309,274458
"Speed_of_sound_through_heel.all_ethnicities.both.2nd_visit.original.RAW",487309,11333
"Speed_of_sound_through_heel.all_ethnicities.both.original.with_med_correction.RAW",487309,274458
"Speed_of_sound_through_heel.all_ethnicities.both.original.with_med_correction.IRNT",487309,274458
"Speed_of_sound_through_heel.all_ethnicities.both.original.IRNT",487309,274458
"Speed_of_sound_through_heel.all_ethnicities.both.dynamic_med_corrected.RAW",487309,274458
"Speed_of_sound_through_heel.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,274458
"IGF_1.all_ethnicities.both.static_med_corrected.IRNT",487309,461882
"IGF_1.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,461882
"IGF_1.all_ethnicities.both.static_med_corrected.RAW",487309,461882
"IGF_1.all_ethnicities.both.dynamic_med_corrected.RAW",487309,461882
"IGF_1.all_ethnicities.both.original.RAW",487309,461882
"IGF_1.all_ethnicities.both.2nd_visit.original.RAW",487309,16277
"IGF_1.all_ethnicities.both.original.with_med_correction.RAW",487309,461882
"IGF_1.all_ethnicities.both.original.with_med_correction.IRNT",487309,461882
"IGF_1.all_ethnicities.both.original.IRNT",487309,461882
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.static_med_corrected.IRNT",487309,472422
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,472422
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.static_med_corrected.RAW",487309,472422
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.dynamic_med_corrected.RAW",487309,472422
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.original.RAW",487309,472422
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.2nd_visit.original.RAW",487309,18288
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.original.with_med_correction.RAW",487309,472422
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.original.with_med_correction.IRNT",487309,472422
"Red_blood_cell_erythrocyte_count.all_ethnicities.both.original.IRNT",487309,472422
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.static_med_corrected.IRNT",487309,472414
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,472414
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.static_med_corrected.RAW",487309,472414
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.dynamic_med_corrected.RAW",487309,472414
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.original.RAW",487309,472414
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.2nd_visit.original.RAW",487309,18288
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.original.with_med_correction.RAW",487309,472414
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.original.with_med_correction.IRNT",487309,472414
"Mean_platelet_thrombocyte_volume.all_ethnicities.both.original.IRNT",487309,472414
"Cystatin_C.all_ethnicities.both.static_med_corrected.IRNT",487309,464371
"Cystatin_C.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,464371
"Cystatin_C.all_ethnicities.both.static_med_corrected.RAW",487309,464371
"Cystatin_C.all_ethnicities.both.dynamic_med_corrected.RAW",487309,464371
"Cystatin_C.all_ethnicities.both.original.RAW",487309,464371
"Cystatin_C.all_ethnicities.both.2nd_visit.original.RAW",487309,16526
"Cystatin_C.all_ethnicities.both.original.with_med_correction.RAW",487309,464371
"Cystatin_C.all_ethnicities.both.original.with_med_correction.IRNT",487309,464371
"Cystatin_C.all_ethnicities.both.original.IRNT",487309,464371
"Trunk_predicted_mass.all_ethnicities.both.static_med_corrected.IRNT",487309,478105
"Trunk_predicted_mass.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478105
"Trunk_predicted_mass.all_ethnicities.both.static_med_corrected.RAW",487309,478105
"Trunk_predicted_mass.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478105
"Trunk_predicted_mass.all_ethnicities.both.original.RAW",487309,478105
"Trunk_predicted_mass.all_ethnicities.both.2nd_visit.original.RAW",487309,19610
"Trunk_predicted_mass.all_ethnicities.both.original.with_med_correction.RAW",487309,478105
"Trunk_predicted_mass.all_ethnicities.both.original.with_med_correction.IRNT",487309,478105
"Trunk_predicted_mass.all_ethnicities.both.original.IRNT",487309,478105
"Urate.all_ethnicities.both.static_med_corrected.IRNT",487309,463844
"Urate.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,463844
"Urate.all_ethnicities.both.static_med_corrected.RAW",487309,463844
"Urate.all_ethnicities.both.dynamic_med_corrected.RAW",487309,463844
"Urate.all_ethnicities.both.original.RAW",487309,463844
"Urate.all_ethnicities.both.2nd_visit.original.RAW",487309,16478
"Urate.all_ethnicities.both.original.with_med_correction.RAW",487309,463844
"Urate.all_ethnicities.both.original.with_med_correction.IRNT",487309,463844
"Urate.all_ethnicities.both.original.IRNT",487309,463844
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.static_med_corrected.IRNT",487309,472415
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,472415
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.static_med_corrected.RAW",487309,472415
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.dynamic_med_corrected.RAW",487309,472415
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.original.RAW",487309,472415
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.2nd_visit.original.RAW",487309,18288
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.original.with_med_correction.RAW",487309,472415
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.original.with_med_correction.IRNT",487309,472415
"Mean_corpuscular_haemoglobin_concentration.all_ethnicities.both.original.IRNT",487309,472415
"Creatinine.all_ethnicities.both.static_med_corrected.IRNT",487309,464173
"Creatinine.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,464173
"Creatinine.all_ethnicities.both.static_med_corrected.RAW",487309,464173
"Creatinine.all_ethnicities.both.dynamic_med_corrected.RAW",487309,464173
"Creatinine.all_ethnicities.both.original.RAW",487309,464173
"Creatinine.all_ethnicities.both.2nd_visit.original.RAW",487309,16498
"Creatinine.all_ethnicities.both.original.with_med_correction.RAW",487309,464173
"Creatinine.all_ethnicities.both.original.with_med_correction.IRNT",487309,464173
"Creatinine.all_ethnicities.both.original.IRNT",487309,464173
"Whole_body_fat_mass.all_ethnicities.both.static_med_corrected.IRNT",487309,477751
"Whole_body_fat_mass.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,477751
"Whole_body_fat_mass.all_ethnicities.both.static_med_corrected.RAW",487309,477751
"Whole_body_fat_mass.all_ethnicities.both.dynamic_med_corrected.RAW",487309,477751
"Whole_body_fat_mass.all_ethnicities.both.original.RAW",487309,477751
"Whole_body_fat_mass.all_ethnicities.both.2nd_visit.original.RAW",487309,19587
"Whole_body_fat_mass.all_ethnicities.both.original.with_med_correction.RAW",487309,477751
"Whole_body_fat_mass.all_ethnicities.both.original.with_med_correction.IRNT",487309,477751
"Whole_body_fat_mass.all_ethnicities.both.original.IRNT",487309,477751
"LDL_direct.all_ethnicities.both.static_med_corrected.IRNT",487309,463534
"LDL_direct.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,463534
"LDL_direct.all_ethnicities.both.static_med_corrected.RAW",487309,463534
"LDL_direct.all_ethnicities.both.dynamic_med_corrected.RAW",487309,463534
"LDL_direct.all_ethnicities.both.original.RAW",487309,463534
"LDL_direct.all_ethnicities.both.2nd_visit.original.RAW",487309,16456
"LDL_direct.all_ethnicities.both.original.with_med_correction.RAW",487309,463534
"LDL_direct.all_ethnicities.both.original.with_med_correction.IRNT",487309,463534
"LDL_direct.all_ethnicities.both.original.IRNT",487309,463534
"Whole_body_water_mass.all_ethnicities.both.static_med_corrected.IRNT",487309,478554
"Whole_body_water_mass.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478554
"Whole_body_water_mass.all_ethnicities.both.static_med_corrected.RAW",487309,478554
"Whole_body_water_mass.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478554
"Whole_body_water_mass.all_ethnicities.both.original.RAW",487309,478554
"Whole_body_water_mass.all_ethnicities.both.2nd_visit.original.RAW",487309,19626
"Whole_body_water_mass.all_ethnicities.both.original.with_med_correction.RAW",487309,478554
"Whole_body_water_mass.all_ethnicities.both.original.with_med_correction.IRNT",487309,478554
"Whole_body_water_mass.all_ethnicities.both.original.IRNT",487309,478554
"Impedance_of_leg_right.all_ethnicities.both.static_med_corrected.IRNT",487309,478529
"Impedance_of_leg_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478529
"Impedance_of_leg_right.all_ethnicities.both.static_med_corrected.RAW",487309,478529
"Impedance_of_leg_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478529
"Impedance_of_leg_right.all_ethnicities.both.original.RAW",487309,478529
"Impedance_of_leg_right.all_ethnicities.both.2nd_visit.original.RAW",487309,19626
"Impedance_of_leg_right.all_ethnicities.both.original.with_med_correction.RAW",487309,478529
"Impedance_of_leg_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,478529
"Impedance_of_leg_right.all_ethnicities.both.original.IRNT",487309,478529
"Trunk_fat_mass.all_ethnicities.both.static_med_corrected.IRNT",487309,478236
"Trunk_fat_mass.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,478236
"Trunk_fat_mass.all_ethnicities.both.static_med_corrected.RAW",487309,478236
"Trunk_fat_mass.all_ethnicities.both.dynamic_med_corrected.RAW",487309,478236
"Trunk_fat_mass.all_ethnicities.both.original.RAW",487309,478236
"Trunk_fat_mass.all_ethnicities.both.2nd_visit.original.RAW",487309,19617
"Trunk_fat_mass.all_ethnicities.both.original.with_med_correction.RAW",487309,478236
"Trunk_fat_mass.all_ethnicities.both.original.with_med_correction.IRNT",487309,478236
"Trunk_fat_mass.all_ethnicities.both.original.IRNT",487309,478236
"Albumin.all_ethnicities.both.static_med_corrected.IRNT",487309,425273
"Albumin.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,425273
"Albumin.all_ethnicities.both.static_med_corrected.RAW",487309,425273
"Albumin.all_ethnicities.both.dynamic_med_corrected.RAW",487309,425273
"Albumin.all_ethnicities.both.original.RAW",487309,425273
"Albumin.all_ethnicities.both.2nd_visit.original.RAW",487309,13364
"Albumin.all_ethnicities.both.original.with_med_correction.RAW",487309,425273
"Albumin.all_ethnicities.both.original.with_med_correction.IRNT",487309,425273
"Albumin.all_ethnicities.both.original.IRNT",487309,425273
"Lymphocyte_percentage.all_ethnicities.both.static_med_corrected.IRNT",487309,471553
"Lymphocyte_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,471553
"Lymphocyte_percentage.all_ethnicities.both.static_med_corrected.RAW",487309,471553
"Lymphocyte_percentage.all_ethnicities.both.dynamic_med_corrected.RAW",487309,471553
"Lymphocyte_percentage.all_ethnicities.both.original.RAW",487309,471553
"Lymphocyte_percentage.all_ethnicities.both.2nd_visit.original.RAW",487309,18261
"Lymphocyte_percentage.all_ethnicities.both.original.with_med_correction.RAW",487309,471553
"Lymphocyte_percentage.all_ethnicities.both.original.with_med_correction.IRNT",487309,471553
"Lymphocyte_percentage.all_ethnicities.both.original.IRNT",487309,471553
"Birth_weight.all_ethnicities.both.static_med_corrected.IRNT",487309,269056
"Birth_weight.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,269056
"Birth_weight.all_ethnicities.both.static_med_corrected.RAW",487309,269056
"Birth_weight.all_ethnicities.both.dynamic_med_corrected.RAW",487309,269056
"Birth_weight.all_ethnicities.both.original.RAW",487309,269056
"Birth_weight.all_ethnicities.both.2nd_visit.original.RAW",487309,9204
"Birth_weight.all_ethnicities.both.original.with_med_correction.RAW",487309,269056
"Birth_weight.all_ethnicities.both.original.with_med_correction.IRNT",487309,269056
"Birth_weight.all_ethnicities.both.original.IRNT",487309,269056
"Eosinophill_percentage.all_ethnicities.both.static_med_corrected.IRNT",487309,471553
"Eosinophill_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,471553
"Eosinophill_percentage.all_ethnicities.both.static_med_corrected.RAW",487309,471553
"Eosinophill_percentage.all_ethnicities.both.dynamic_med_corrected.RAW",487309,471553
"Eosinophill_percentage.all_ethnicities.both.original.RAW",487309,471553
"Eosinophill_percentage.all_ethnicities.both.2nd_visit.original.RAW",487309,18261
"Eosinophill_percentage.all_ethnicities.both.original.with_med_correction.RAW",487309,471553
"Eosinophill_percentage.all_ethnicities.both.original.with_med_correction.IRNT",487309,471553
"Eosinophill_percentage.all_ethnicities.both.original.IRNT",487309,471553
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.static_med_corrected.IRNT",487309,159196
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,159196
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.static_med_corrected.RAW",487309,159196
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.dynamic_med_corrected.RAW",487309,159196
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.RAW",487309,159196
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.2nd_visit.original.RAW",487309,4393
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.with_med_correction.RAW",487309,159196
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.with_med_correction.IRNT",487309,159196
"Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.IRNT",487309,159196
"Alanine_aminotransferase.all_ethnicities.both.static_med_corrected.IRNT",487309,464221
"Alanine_aminotransferase.all_ethnicities.both.dynamic_med_corrected.IRNT",487309,464221
"Alanine_aminotransferase.all_ethnicities.both.static_med_corrected.RAW",487309,464221
"Alanine_aminotransferase.all_ethnicities.both.dynamic_med_corrected.RAW",487309,464221
"Alanine_aminotransferase.all_ethnicities.both.original.RAW",487309,464221
"Alanine_aminotransferase.all_ethnicities.both.2nd_visit.original.RAW",487309,16528
