PHENOTYPE,PC1_COS_SIM,PC1_ABS_COS_SIM,PC1_PEARSON,PC1_ABS_PEARSON,RANK_PC1_COS_SIM,RANK_PC1_PEARSON,EVEN_COS_SIM,EVEN_PEARSON,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,MEAN.DELTA.R2,MEAN.DELTA.ADJ.R2,MEAN.DELTA.R2.NO.INTERCEPT,MEAN.DELTA.ADJ.R2.NO.INTERCEPT,MEAN.DELTA.ADJ.R2.POSITIVE,MEAN.DELTA.ADJ.R2.NO.INTERCEPT.POSITIVE
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.with_med_correction.IRNT,-0.1228786239558099,0.1228786239558099,-0.12290912043257596,0.12290912043257596,40,40,2.683582153748469,2.6834930889412845,0.01104037343769483,0.335613196629121,0.08262704185715274,1.2201509623831042e-7,4.9432104339495e-4,3.3161174570919784e-4,3.7158309066920303e-6,2.539549434465993e-6,0.00959009983706865,0.00955922141213078,0,0
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.original.with_med_correction.RAW,-0.05326307046817516,0.05326307046817516,-0.11646363134600692,0.11646363134600692,40,40,2.909886012977148,2.6901154412796475,0.01099540856714872,0.338625163760208,0.08233628523771945,1.2176768814427148e-7,4.9381188848896e-4,3.312755017233932e-4,3.778690376321503e-6,2.5969476723508578e-6,0.00515123664946748,0.00514715494239259,0,0
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.static_med_corrected.IRNT,7.490388288502106e-12,7.490388288502106e-12,9.003296592768203e-12,9.003296592768203e-12,40,40,3.054749999656369,2.949494934374303,0.00937218951348147,0.273136833558591,0.07865150193794442,1.2198216564751998e-7,4.9496362297129e-4,3.3157442409811655e-4,6.618009121859731e-6,4.365917484285827e-6,5.938045436530411e-6,-4.586507380563119e-5,0.005,0
Forced_expiratory_volume_in_1_second_FEV1.all_ethnicities.both.static_med_corrected.RAW,6.1429551004622565e-12,6.1429551004622565e-12,7.498162757945678e-12,7.498162757945678e-12,40,40,3.051626388998136,2.9535437775410007,0.01060232499645312,0.263998033338412,0.0814726179235713,1.2198057485744425e-7,4.9504726891016e-4,3.315760509927088e-4,6.750102566408206e-6,4.498014775636271e-6,5.9572265953781785e-6,-4.5845893723185375e-5,0.005,0.005
Forced_vital_capacity_FVC.all_ethnicities.both.2nd_visit.original.RAW,-0.26007724142484595,0.26007724142484595,-0.07619054589257108,0.07619054589257108,38,40,2.916269633836228,3.199747311060948,0.00971801447725438,0.262864184533499,0.0783767062293623,1.2832851322951373e-7,5.1686453683949e-4,3.3995714939645023e-4,3.175721777326501e-5,2.1857932752666898e-6,0.00327753590382395,0.00319171326817335,0,0
Forced_vital_capacity_FVC.all_ethnicities.both.dynamic_med_corrected.IRNT,-7.891657257467596e-12,7.891657257467596e-12,-8.31491344066452e-12,8.31491344066452e-12,38,38,2.9424892007007153,2.938639945500188,0.00876476383298837,0.23080341512255,0.07664081107727068,1.2199108111243e-7,4.9464120379745e-4,3.3156395414251223e-4,7.648059286881284e-6,5.396021928056885e-6,6.976297540065264e-6,-4.4826767975820145e-5,0.005,0.005
Forced_vital_capacity_FVC.all_ethnicities.both.dynamic_med_corrected.RAW,-4.690560583188382e-12,4.690560583188382e-12,-4.688086337520825e-12,4.688086337520825e-12,37,37,2.9530401734350207,2.953088720925287,0.00872269554238598,0.267228749883951,0.07688423076973452,1.219907869444274e-7,4.948951286385e-4,3.315719860765755e-4,6.917754803154692e-6,4.665675292256924e-6,6.20375017601322e-6,-4.559935874296287e-5,0.005,0.005
Forced_vital_capacity_FVC.all_ethnicities.both.original.IRNT,-0.1389851918075493,0.1389851918075493,-0.13901968567260378,0.13901968567260378,40,40,2.61886543239427,2.6187750602937268,0.01095712195066713,0.254445108855957,0.08498008505387714,1.2205154763286737e-7,4.9478188122545e-4,3.3165415930005103e-4,4.071610186118235e-6,2.9563485647310372e-6,0.00615686529034853,0.00612876107817494,0,0
Forced_vital_capacity_FVC.all_ethnicities.both.original.RAW,-0.05530013400510836,0.05530013400510836,-0.1234065668529894,0.1234065668529894,40,40,2.9323087326945756,2.6447862375393294,0.0110690142815297,0.265147668137062,0.08513196199279349,1.2093692457903054e-7,4.9240332730318e-4,3.301382543950463e-4,4.000501850565108e-6,2.7833334137472576e-6,0.00430120045974724,0.00429738142304703,0,0
Forced_vital_capacity_FVC.all_ethnicities.both.original.with_med_correction.IRNT,-0.1389851918075493,0.1389851918075493,-0.13901968567260378,0.13901968567260378,40,40,2.61886543239427,2.6187750602937268,0.01095712195066713,0.254445108855957,0.08498008505387714,1.2205154763286737e-7,4.9478188122545e-4,3.3165415930005103e-4,4.071610186118235e-6,2.9563485647310372e-6,0.00615686529034853,0.00612876107817494,0,0
Forced_vital_capacity_FVC.all_ethnicities.both.original.with_med_correction.RAW,-0.05530013400510836,0.05530013400510836,-0.1234065668529894,0.1234065668529894,40,40,2.9323087326945756,2.6447862375393294,0.0110690142815297,0.265147668137062,0.08513196199279349,1.2093692457903054e-7,4.9240332730318e-4,3.301382543950463e-4,4.000501850565108e-6,2.7833334137472576e-6,0.00430120045974724,0.00429738142304703,0,0
Forced_vital_capacity_FVC.all_ethnicities.both.static_med_corrected.IRNT,1.3294154157930911e-11,1.3294154157930911e-11,1.5567726835524096e-11,1.5567726835524096e-11,40,40,2.9452716886795676,2.8709350805050953,0.00863248620612839,0.233690373051444,0.0764326059126334,1.2199004254597265e-7,4.9464056201333e-4,3.315609238152801e-4,7.541499720350149e-6,5.289457854621427e-6,6.895634481837679e-6,-4.49074337963493e-5,0.01,0.005
Forced_vital_capacity_FVC.all_ethnicities.both.static_med_corrected.RAW,1.2866257211017339e-11,1.2866257211017339e-11,1.497087076181967e-11,1.497087076181967e-11,40,40,2.9510752282748496,2.863383134348331,0.00882686263999984,0.263185655676042,0.0777594214322363,1.2199763463224294e-7,4.9466480224446e-4,3.3158153613265076e-4,6.807429797874259e-6,4.555345061008622e-6,6.120061456927552e-6,-4.56830509776229e-5,0.005,0.005
Gamma_glutamyltransferase.all_ethnicities.both.2nd_visit.original.RAW,-0.18476990496833912,0.18476990496833912,-0.00383786661080681,0.00383786661080681,37,17,2.8952933933349563,3.3473297287241777,0.01050920416957311,0.389583628169395,0.08072436409987924,1.2770007486123485e-7,5.1385413271626e-4,3.390873856823427e-4,6.974454679806869e-5,1.0767657949242032e-5,4.307950177329656e-4,-2.6797023892588534e-4,0,0
Gamma_glutamyltransferase.all_ethnicities.both.dynamic_med_corrected.IRNT,-4.3421218368074256e-11,4.3421218368074256e-11,-3.429520199586001e-11,3.429520199586001e-11,39,38,2.643079889400503,2.7132503072912195,0.00931920398686165,0.273128343991699,0.07852579343784662,1.2194205522231233e-7,4.9424931251134e-4,3.315168596909997e-4,5.978851006112495e-6,3.824515908531501e-6,5.527816676677578e-6,-4.402602468945321e-5,0,0
Gamma_glutamyltransferase.all_ethnicities.both.dynamic_med_corrected.RAW,-4.341302780402375e-11,4.341302780402375e-11,-3.5915854269471567e-11,3.5915854269471567e-11,40,40,3.0949348531294554,3.161991331687107,0.01035590874393032,0.316927497758575,0.0813424312527379,1.2194920321377322e-7,4.9376811317473e-4,3.3151084641534295e-4,3.4475788059468887e-6,1.2931162066309702e-6,3.0853477789949145e-6,-4.646861675460989e-5,0,0
Gamma_glutamyltransferase.all_ethnicities.both.original.IRNT,0.03385528597646482,0.03385528597646482,0.03386457373425622,0.03386457373425622,40,40,3.227919701818017,3.227875356185385,0.00933637630107022,0.284963262076626,0.0774364425837383,1.2194603937273373e-7,4.950997736125e-4,3.3151434200235605e-4,5.583464839531427e-6,3.7334223327856182e-6,0.00268528540762603,0.00264171219053939,0,0
Gamma_glutamyltransferase.all_ethnicities.both.original.RAW,-0.00674646401438745,0.00674646401438745,0.01178494552598264,0.01178494552598264,31,37,3.2296284342872945,3.0727653130242105,0.00945645677859425,0.274783570287621,0.0784061944691904,1.2114053746525198e-7,4.9348482511674e-4,3.304179969661721e-4,3.475958143539515e-6,1.4014305148302153e-6,2.484160018918491e-4,2.2164209155534076e-4,0,0
Gamma_glutamyltransferase.all_ethnicities.both.original.with_med_correction.IRNT,0.03265569051454893,0.03265569051454893,0.03266464917891298,0.03266464917891298,40,40,3.1897949458620336,3.1897482000179456,0.00914070093853766,0.265077530828968,0.07590460064068733,1.2194725688470164e-7,4.9454261363434e-4,3.315071804713284e-4,5.326981930203756e-6,3.46662099975914e-6,0.00210505088776757,0.00206146187851538,0,0
Gamma_glutamyltransferase.all_ethnicities.both.original.with_med_correction.RAW,-0.00666503594728511,0.00666503594728511,0.011542386876646,0.011542386876646,32,37,3.2207765925864154,3.0522298255433276,0.0091525532433312,0.264546455754025,0.07569954881616169,1.214961656401927e-7,4.9351952890962e-4,3.308925176869726e-4,3.4430281378519667e-6,1.3680078039812749e-6,2.704825155224744e-4,2.4320062511884455e-4,0,0
Gamma_glutamyltransferase.all_ethnicities.both.static_med_corrected.IRNT,3.782629070959995e-12,3.782629070959995e-12,4.7083617000706384e-12,4.7083617000706384e-12,13,17,2.978349785933356,2.975210274285124,0.01030646224295526,0.317244954144767,0.0816907540338065,1.219272504528393e-7,4.9441668571051e-4,3.31487708188996e-4,6.080350607468774e-6,3.926020508877578e-6,5.610225230754545e-6,-4.3943612809128186e-5,0,0
Gamma_glutamyltransferase.all_ethnicities.both.static_med_corrected.RAW,8.464739389518146e-12,8.464739389518146e-12,1.0357449606236187e-11,1.0357449606236187e-11,24,27,3.0003701522447916,2.9907229422828756,0.00962598619285562,0.273932055438481,0.079463464770762,1.2195116901630621e-7,4.9376061674876e-4,3.315064241012118e-4,3.428232213603877e-6,1.2737686387509476e-6,3.059904861825941e-6,-4.649406126897579e-5,0,0
Glucose.all_ethnicities.both.2nd_visit.original.RAW,-0.2482852306879059,0.2482852306879059,-0.0049006744993227,0.0049006744993227,37,16,2.915763196055668,3.428289912477681,0.01113513122864871,0.330421268178378,0.08289632107432864,1.2847758990932858e-7,5.1445231863617e-4,3.3982599347924113e-4,7.051268237103989e-5,-3.660298965828604e-6,0.00108489224500274,0.00100227258168161,0,0
Glucose.all_ethnicities.both.dynamic_med_corrected.IRNT,-4.882379544424323e-14,4.882379544424323e-14,7.738598986751566e-13,7.738598986751566e-13,2,19,3.1702829022236005,3.176009422174014,0.01030177543853469,0.292904430823515,0.08117656065523758,1.2218851859178437e-7,4.9600064011445e-4,3.318064802396413e-4,4.003638482799768e-6,1.6494021061252902e-6,3.476061166666747e-6,-5.0673242636180314e-5,0,0
Glucose.all_ethnicities.both.dynamic_med_corrected.RAW,4.427563720087861e-12,4.427563720087861e-12,5.332187033416098e-12,5.332187033416098e-12,36,37,3.290096236632857,3.284922919134753,0.00854326657619156,0.238267893282744,0.07395670765127463,1.2220880365056596e-7,4.9556210094593e-4,3.3184737335725e-4,3.4222532696991618e-6,1.0679853728501302e-6,2.9483824312417444e-6,-5.120095034978492e-5,0,0
Glucose.all_ethnicities.both.original.IRNT,-0.007768927139743,0.007768927139743,-0.00777083474756806,0.00777083474756806,35,35,3.208809172800602,3.208790152027914,0.01064955367999345,0.288926281840789,0.0827931390047569,1.2218341396597458e-7,4.9622865324572e-4,3.3178627234628684e-4,3.892531762361706e-6,1.607932276576074e-6,0.00311969108918171,0.00306582369214807,0,0
Glucose.all_ethnicities.both.original.RAW,-0.01841936597730975,0.01841936597730975,0.01320361493207395,0.01320361493207395,40,38,3.28147370993263,3.0753265863243224,0.01069924963360705,0.289704295423318,0.08287908406734837,1.2186685237128517e-7,4.9559198428405e-4,3.3135618600854807e-4,3.488073000552927e-6,1.1706854641160142e-6,0.00136353942443467,0.00136000688758797,0,0
Glucose.all_ethnicities.both.original.with_med_correction.IRNT,-0.00799503473495848,0.00799503473495848,-0.00799699786198332,0.00799699786198332,35,35,3.2102166861327976,3.210197457708065,0.01042462657314501,0.276815872588668,0.08221918946782425,1.2219254001069905e-7,4.9608357156278e-4,3.318034672183839e-4,3.884096737745424e-6,1.6035579072370965e-6,0.0033064913747767,0.00325263880434726,0,0
Glucose.all_ethnicities.both.original.with_med_correction.RAW,-0.01844029172278364,0.01844029172278364,0.01310486676498326,0.01310486676498326,40,38,3.2808018980616325,3.077174039239069,0.01037242936374091,0.276737934395988,0.08196158284117848,1.219655569928388e-7,4.9561989898445e-4,3.3149565188869473e-4,3.4987821246300344e-6,1.182979638962578e-6,0.00134809779964228,0.00134457055392656,0,0
Glucose.all_ethnicities.both.static_med_corrected.IRNT,-4.618040562886866e-11,4.618040562886866e-11,-4.3433757637894866e-11,4.3433757637894866e-11,40,40,2.982011578208829,2.9688162300052165,0.00948801445571981,0.266428915556254,0.07914188649226371,1.221789071987044e-7,4.9614065346106e-4,3.3179211348208573e-4,3.9571483173954894e-6,1.6029094520186876e-6,3.43894277964068e-6,-5.0710363639357504e-5,0,0
Glucose.all_ethnicities.both.static_med_corrected.RAW,-2.3922941790928535e-11,2.3922941790928535e-11,-2.3699144476684748e-11,2.3699144476684748e-11,40,40,2.848433935039768,2.8377021948827235,0.00931758744650692,0.262999217684877,0.07808549276932251,1.221930340647368e-7,4.9618621376321e-4,3.3180786068539745e-4,3.2754713542375287e-6,9.211954356302986e-7,2.8340922090065676e-6,-5.131524777014482e-5,0,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.2nd_visit.original.RAW,-0.2749025969980475,0.2749025969980475,0.05664552645672473,0.05664552645672473,38,40,2.9112689638109095,3.3789299692950236,0.01090788784258559,0.277470875403174,0.08335690148814277,1.2694314879695986e-7,5.1303644186416e-4,3.380063269636099e-4,8.671347509098953e-5,1.1754175967042256e-5,9.474174309211936e-4,8.901166953960704e-4,0,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.dynamic_med_corrected.IRNT,-3.869303374863117e-11,3.869303374863117e-11,-3.5573300761714345e-11,3.5573300761714345e-11,40,40,2.7442820368831744,2.7255271287497966,0.01053358590772748,0.323547840205107,0.08333933916667102,1.2211731755283174e-7,4.9457133104352e-4,3.3170838317014254e-4,6.025677830475316e-6,3.865745027064047e-6,5.193512633609708e-6,-4.448911722722488e-5,0,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.dynamic_med_corrected.RAW,-2.2509531960358067e-11,2.2509531960358067e-11,-2.2981601357791934e-11,2.2981601357791934e-11,39,39,2.812953239633827,2.811216306407841,0.01011894180849097,0.326575373672076,0.08122504340825028,1.22102315265261e-7,4.943692484378e-4,3.3168497159285115e-4,4.536210343252037e-6,2.3762030081664353e-6,3.879721438602618e-6,-4.580297403160473e-5,0,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.IRNT,0.08919084755142431,0.08919084755142431,0.08927628392649604,0.08927628392649604,40,40,2.733944645030453,2.733648198710738,0.00973996955616361,0.256541130641434,0.08132557130931516,1.2213224124352417e-7,4.9530866428129e-4,3.317256223073448e-4,5.478787966251009e-6,3.5380804486034867e-6,0.00962572171685425,0.00957736676351657,0,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.RAW,-0.02648314672948638,0.02648314672948638,0.08963455151156036,0.08963455151156036,40,40,3.331125235063588,2.5846221414367325,0.00982153532306949,0.255186179814536,0.08162585014708802,1.215323904755909e-7,4.9411946054613e-4,3.3090871525813824e-4,4.50441698028603e-6,2.4752393615531942e-6,0.00112189051253375,0.00111987435126115,0,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.with_med_correction.IRNT,0.09013841498320452,0.09013841498320452,0.0902247590380298,0.0902247590380298,40,40,2.7071081643831314,2.706808760445776,0.00961776349899006,0.287421814117331,0.08073810337496717,1.221279980187022e-7,4.9554620088575e-4,3.3172403372598884e-4,5.469904727606334e-6,3.519878367844176e-6,0.00911609349417416,0.00906772008575903,0,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.original.with_med_correction.RAW,-0.02638690727506145,0.02638690727506145,0.09035871555785643,0.09035871555785643,40,40,3.3312478691376533,2.565420705319389,0.0096264279324195,0.239817740081779,0.0809549760226545,1.185058265685797e-7,4.8814784433701e-4,3.2676462135132565e-4,4.48613766191458e-6,2.452498224163324e-6,0.00114532928221822,0.00114330710999344,0,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.static_med_corrected.IRNT,2.0467959968753073e-12,2.0467959968753073e-12,7.923463475888316e-12,7.923463475888316e-12,19,35,2.7850004014329524,2.784632082067384,0.01090834610572611,0.283678566771188,0.087266382112834,1.2214795300895433e-7,4.9483163742724e-4,3.3174566714199024e-4,5.9488871540889805e-6,3.7889506639338097e-6,5.120290752992875e-6,-4.456234264828259e-5,0.005,0
Glycated_haemoglobin_HbA1c.all_ethnicities.both.static_med_corrected.RAW,4.381919153916965e-13,4.381919153916965e-13,4.2759632297666466e-12,4.2759632297666466e-12,16,38,2.784854363286336,2.654643566646184,0.00966537992520749,0.261771881172644,0.08283986473863095,1.2213479962388417e-7,4.9474531921625e-4,3.317119658231403e-4,4.295832990936684e-6,2.1358137800542266e-6,3.670155307039706e-6,-4.601255077020634e-5,0,0
Haematocrit_percentage.all_ethnicities.both.2nd_visit.original.RAW,-0.26499982322701654,0.26499982322701654,-0.03533365687938812,0.03533365687938812,38,40,2.9011547751694766,3.258299670620398,0.00985122329518364,0.286663183983602,0.07884030808051933,1.244867731006343e-7,5.0888711133114e-4,3.348655220505887e-4,4.551734085989079e-5,6.695747994167611e-6,0.0014355858153956,0.00141322093352436,0,0
Haematocrit_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT,-1.326420374331946e-12,1.326420374331946e-12,-1.8514085527483585e-12,1.8514085527483585e-12,32,35,3.2194081968006736,3.206594515235663,0.01027845905881667,0.29910051751272,0.08090728009102187,1.219987578064451e-7,4.9430471826053e-4,3.315652604171574e-4,6.374176987516974e-6,4.25753010787899e-6,5.844184828286291e-6,-4.284318097391755e-5,0.01,0.01
Haematocrit_percentage.all_ethnicities.both.dynamic_med_corrected.RAW,-4.429679554566528e-12,4.429679554566528e-12,-5.873034979238649e-12,5.873034979238649e-12,39,39,3.2050369503733296,3.1602920945711452,0.01013639613531991,0.295008833236674,0.08049315440735906,1.2199260671999688e-7,4.9422020218101e-4,3.315604542828926e-4,6.222991007349452e-6,4.106336879468045e-6,5.73410022059805e-6,-4.295327108828602e-5,0.01,0.01
Haematocrit_percentage.all_ethnicities.both.original.IRNT,-0.04007272509831333,0.04007272509831333,-0.04008463549300856,0.04008463549300856,40,40,3.041201070478953,3.041105532281853,0.00796968472370567,0.327029149958207,0.07274925452665063,1.2203921261020365e-7,4.9471665341779e-4,3.31612719657519e-4,4.1163896735141314e-6,2.709200179307203e-6,0.00130149814902191,0.00126864894076106,0,0
Haematocrit_percentage.all_ethnicities.both.original.RAW,-0.02775332886386834,0.02775332886386834,-0.04023498500371526,0.04023498500371526,40,40,3.27643296508461,3.0390065485051885,0.00793108243329946,0.330142154568871,0.07279386254035758,1.217223333480559e-7,4.9405818309753e-4,3.311816958028806e-4,4.043347668680752e-6,2.625366661734851e-6,0.0019283293249025,0.00192735857414194,0,0
Haematocrit_percentage.all_ethnicities.both.original.with_med_correction.IRNT,-0.03951169954178323,0.03951169954178323,-0.03952344318875185,0.03952344318875185,40,40,3.033300380151276,3.033205871296907,0.00821900086845232,0.338829716655314,0.0740510089179412,1.220368535190508e-7,4.9487201513587e-4,3.3160651913972667e-4,4.102072687917069e-6,2.7014867048369418e-6,0.00161502792642975,0.00158221344693798,0,0
Haematocrit_percentage.all_ethnicities.both.original.with_med_correction.RAW,-0.0276862720376695,0.0276862720376695,-0.03961868658448635,0.03961868658448635,40,40,3.2773613520334233,3.0303692376634332,0.00823807069553826,0.348513816365571,0.07416302031516592,1.2104604976243106e-7,4.9280925482401e-4,3.3025943380438777e-4,4.032301240908254e-6,2.621009271397412e-6,0.00189900731408076,0.00189805083823801,0,0
Haematocrit_percentage.all_ethnicities.both.static_med_corrected.IRNT,-2.3424966133153103e-12,2.3424966133153103e-12,-3.091477439549062e-12,3.091477439549062e-12,37,39,3.101431556230803,3.0030736248494714,0.01042465173589233,0.279732411819528,0.08194490113119765,1.21997245271804e-7,4.9396870487029e-4,3.315615074529642e-4,6.4527138001594e-6,4.3360707297840365e-6,5.917196981795167e-6,-4.277016499056535e-5,0.01,0.01
Haematocrit_percentage.all_ethnicities.both.static_med_corrected.RAW,-3.9929217993936214e-12,3.9929217993936214e-12,-5.781337053504458e-12,5.781337053504458e-12,39,40,3.179652184923897,3.005934167614168,0.01034417347267804,0.274191168790136,0.08270474301309073,1.2199161214072337e-7,4.9394717005764e-4,3.3155318980692864e-4,6.301885571541723e-6,4.185235267164523e-6,5.808051762424354e-6,-4.287931570572363e-5,0.01,0.01
Haemoglobin_concentration.all_ethnicities.both.2nd_visit.original.RAW,-0.2669932734930849,0.2669932734930849,-0.05916606859634933,0.05916606859634933,38,40,2.9049809974613385,3.146864606232168,0.01069105077574634,0.270357139666216,0.08307007666770645,1.226968601189658e-7,5.0587658667112e-4,3.325104679067674e-4,4.109565907300938e-5,3.923707310726776e-6,0.00149262692166463,0.00146942964141172,0,0
Haemoglobin_concentration.all_ethnicities.both.dynamic_med_corrected.IRNT,-9.252398509589992e-12,9.252398509589992e-12,-7.806655297218264e-12,7.806655297218264e-12,39,39,2.956841232112937,3.016799427601258,0.01013809873827798,0.282464627539319,0.07914223015512391,1.2199057656367128e-7,4.9374803681928e-4,3.3154664221688595e-4,6.741750902436058e-6,4.625121874776151e-6,6.130899218077656e-6,-4.255645262691502e-5,0.01,0.01
Haemoglobin_concentration.all_ethnicities.both.dynamic_med_corrected.RAW,-1.6385909749290373e-11,1.6385909749290373e-11,-1.729624679172792e-11,1.729624679172792e-11,40,40,2.791315859430387,2.6807867804948944,0.01028364466487479,0.295955915790504,0.08025287514202953,1.2199438668307026e-7,4.9396756349882e-4,3.315561161665082e-4,6.538828849526759e-6,4.422190044113814e-6,5.970739604965701e-6,-4.271662017737218e-5,0.01,0.01
Haemoglobin_concentration.all_ethnicities.both.original.IRNT,-0.07714999255410267,0.07714999255410267,-0.07717292304252836,0.07717292304252836,40,40,2.789320801643209,2.7891627493697215,0.00859419142130243,0.282090883333475,0.07585180661759994,1.2204904523019924e-7,4.9518645942174e-4,3.3161632179954417e-4,4.189887094496747e-6,2.8581524869064623e-6,0.00106999255687428,0.00103896649443502,0,0
Haemoglobin_concentration.all_ethnicities.both.original.RAW,-0.03109242148833037,0.03109242148833037,-0.07773837957269034,0.07773837957269034,40,40,3.264791940261422,2.782288589553359,0.00876700113200226,0.280802955221449,0.07673376093361702,1.2153157408375337e-7,4.9418366640378e-4,3.3091250914470724e-4,4.086009299575366e-6,2.745677204929464e-6,0.00194598252040867,0.00194501067703023,0,0
Haemoglobin_concentration.all_ethnicities.both.original.with_med_correction.IRNT,-0.07664994066043489,0.07664994066043489,-0.07667272252364658,0.07667272252364658,40,40,2.818539739201186,2.8183838539511608,0.00818689552827926,0.308381713533035,0.07483595381505838,1.2204394271800366e-7,4.953911881276e-4,3.316101905300905e-4,4.186125231175897e-6,2.8609757576902872e-6,0.00137374571418064,0.00134275792265092,0,0
Haemoglobin_concentration.all_ethnicities.both.original.with_med_correction.RAW,-0.03101041715262708,0.03101041715262708,-0.07713944444703925,0.07713944444703925,40,40,3.2655509329159966,2.8151307424736287,0.00819559380845597,0.307431223712159,0.07489580430059467,1.2202001271198661e-7,4.953052178202e-4,3.3157747729536464e-4,4.080222515634446e-6,2.746786791352207e-6,0.00191397744537713,0.001913021004868,0,0
Haemoglobin_concentration.all_ethnicities.both.static_med_corrected.IRNT,4.3030595326985726e-12,4.3030595326985726e-12,4.2426140764749226e-12,4.2426140764749226e-12,33,32,3.0293067511344653,3.028601407461815,0.00951527546326651,0.286159322465667,0.07755114126728034,1.2199664765061066e-7,4.9383919601548e-4,3.315671372130243e-4,6.803681503958754e-6,4.687055470266046e-6,6.184986723605947e-6,-4.250236235990828e-5,0.01,0.01
Haemoglobin_concentration.all_ethnicities.both.static_med_corrected.RAW,1.719969483400619e-11,1.719969483400619e-11,1.9326202946011e-11,1.9326202946011e-11,40,40,3.0693233897463257,3.0590106724122323,0.00947705525646071,0.264818125723391,0.07682374410709983,1.21997568492828e-7,4.9387353254174e-4,3.315656969143453e-4,6.60669020007539e-6,4.490054672265378e-6,6.031867626812593e-6,-4.2655489073284025e-5,0.01,0.01
Hand_grip_strength_left.all_ethnicities.both.2nd_visit.original.RAW,-0.24098037189285357,0.24098037189285357,-0.00453949752355069,0.00453949752355069,38,19,2.9266857998975286,3.228774925800732,0.01061797159539603,0.289543014971039,0.0861993237244958,1.1017867670589944e-7,4.7544646850867e-4,3.1506783878584545e-4,2.640460197844696e-5,2.656783047338962e-6,0.0024674630975171,0.00235844369592452,0,0
Hand_grip_strength_left.all_ethnicities.both.dynamic_med_corrected.IRNT,2.731249680254203e-11,2.731249680254203e-11,2.914270433603515e-11,2.914270433603515e-11,40,40,2.925852068402467,2.869475016969724,0.01135754233462974,0.313717867325293,0.08592154359696243,1.2203901985263902e-7,4.9455071355726e-4,3.3160489432512686e-4,5.240986166201063e-6,3.1792662665486296e-6,5.029882953740483e-6,-4.239303816696323e-5,0,0
Hand_grip_strength_left.all_ethnicities.both.dynamic_med_corrected.RAW,3.127109169751721e-11,3.127109169751721e-11,3.331631949393428e-11,3.331631949393428e-11,40,40,2.9352643735506656,2.8819438510887374,0.01059489898218309,0.285376751628413,0.08280911060424091,1.220340661335905e-7,4.9457116560575e-4,3.316084523598972e-4,5.422912532097985e-6,3.3611978714864795e-6,5.028255254153631e-6,-4.239466912379693e-5,0,0
Hand_grip_strength_left.all_ethnicities.both.original.IRNT,-0.00737227664160392,0.00737227664160392,-0.00737416786074249,0.00737416786074249,32,32,2.999488628182202,2.999467839181153,0.01111860059457695,0.302232799079854,0.08684807841908758,1.2202682027776637e-7,4.9507755494893e-4,3.315822610832564e-4,2.535635873934794e-6,1.5511081644659086e-6,0.0016197091657053,0.00159647117503936,0,0
Hand_grip_strength_left.all_ethnicities.both.original.RAW,-0.02374770152110887,0.02374770152110887,-0.00727033340701381,0.00727033340701381,39,32,3.1532882434639937,2.973558882956441,0.01084410826510701,0.292539045715665,0.084530584309357,1.1277334437001753e-7,4.7615605962832e-4,3.187717519361118e-4,2.4370093191228293e-6,1.515422269782185e-6,0.00329118651843729,0.00328726923096711,0,0
Hand_grip_strength_left.all_ethnicities.both.original.with_med_correction.IRNT,-0.00740370828590077,0.00740370828590077,-0.00740560756823747,0.00740560756823747,32,32,2.981721518996259,2.981700247589506,0.01152691221012677,0.298660071487344,0.0865387510997903,1.2201384013300566e-7,4.9535543048482e-4,3.3156953669331965e-4,2.529868644796096e-6,1.5443965013517411e-6,0.00158787369364143,0.00156462579760063,0,0
Hand_grip_strength_left.all_ethnicities.both.original.with_med_correction.RAW,-0.02372926505611608,0.02372926505611608,-0.00720550130874789,0.00720550130874789,39,32,3.157291372555231,2.9662463729125976,0.01156229939526614,0.319486137316302,0.08682376009174386,1.1990384206620512e-7,4.9093884875668e-4,3.286899780900022e-4,2.434175151222462e-6,1.5124838312896571e-6,0.00326840572380082,0.00326454659632968,0,0
Hand_grip_strength_left.all_ethnicities.both.static_med_corrected.IRNT,3.8127963952914775e-12,3.8127963952914775e-12,4.235896364806565e-12,4.235896364806565e-12,32,34,3.0688179051011124,3.075019056330658,0.01057492805134006,0.32925316002909,0.0829185479892095,1.2202887225749264e-7,4.9419105878176e-4,3.315817845314535e-4,5.273432923845479e-6,3.21171441994728e-6,5.044366622808491e-6,-4.2378553626661374e-5,0,0
