PHENOTYPE,PC1_ABS_COS_SIM,PC1_ABS_PEARSON,RANK_PC1_COS_SIM,RANK_PC1_PEARSON,EVEN_COS_SIM,EVEN_PEARSON,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN.DELTA.R2
Trunk_fat_percentage.all_ethnicities.both.original.RAW,0.01644959876584652,0.02299275861853418,38,35,3.265411253743576,3.185425300620515,0.01098108118321686,0.276426609908642,0.0863920963244306,5.097125813813275e-6
Trunk_predicted_mass.all_ethnicities.both.original.RAW,0.0260183015700604,0.01795765545167019,39,38,3.212562596885012,2.8446524224130707,0.01149341098973996,0.275372214434768,0.08880005241298501,2.5998372331637043e-6
Urate.all_ethnicities.both.original.RAW,0.02153115384666883,0.00443564117182908,40,24,3.303895343615012,3.3630801379781214,0.00978943379806119,0.252014009044053,0.08154521708399413,6.698372219005044e-6
Urea.all_ethnicities.both.original.RAW,0.0399913649679953,0.06917615213092347,40,40,3.211378902847236,2.9678947281018715,0.00981155831209473,0.294524790010329,0.07790174489363827,4.0229465609331605e-6
Vitamin_D.all_ethnicities.both.original.RAW,0.07712689157264672,0.13892827242850062,40,40,2.893553218301006,2.6503656319993643,0.01086505197435253,0.348347597471494,0.085129451164087,4.789142727661122e-6
Waist_circumference.all_ethnicities.both.original.RAW,0.02021090034121435,0.01521932062148894,40,35,3.3310557342723492,3.2802548124737028,0.00996327151454463,0.240886996348082,0.08139976243031032,4.932658805634205e-6
Weight.all_ethnicities.both.original.RAW,0.02078312049289018,0.00797165631471931,39,31,3.2598829349339065,2.9985391189788113,0.00983949512524247,0.257807929406636,0.08321163016029984,5.729664667747381e-6
White_blood_cell_leukocyte_count.all_ethnicities.both.original.RAW,0.0410118385348209,0.0601626822631494,40,40,3.1853988562842934,2.942754676547816,0.00969272995709268,0.297350032353282,0.07800686717652633,6.020655009224621e-6
Whole_body_fat_free_mass.all_ethnicities.both.original.RAW,0.02483352865810673,0.01180324499940585,39,36,3.2450612381525943,2.929322877222869,0.0113628455266992,0.270379482955095,0.0875678330485549,2.614780331477995e-6
Whole_body_fat_mass.all_ethnicities.both.original.RAW,0.01117465995387493,0.02852702139706486,36,38,3.2205008005690963,3.063274671372199,0.01139384022413491,0.306193544255377,0.08766320614099263,6.239624074450001e-6
Whole_body_water_mass.all_ethnicities.both.original.RAW,0.02477809499536392,0.01160861269460295,39,35,3.2443181128078726,2.926190525602262,0.01153243030312635,0.274777698942844,0.08867712648837618,2.6441185180248183e-6
